?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%]
485.000014,0.170604,0.158673,0.091197,0.932509,0.156467,0.309694,0.170206,0.235588,0.261768,0.236792,0.150197,0.390147,0.408333,0.105294,0.549588,0.412799
486.000014,0.163391,0.158861,0.082859,0.934710,0.151558,0.286774,0.161956,0.231427,0.239682,0.246856,0.152051,0.396320,0.405931,0.128487,0.549965,0.414955
487.000014,0.176954,0.162072,0.091866,0.930498,0.143268,0.282342,0.175242,0.228758,0.233106,0.254965,0.147269,0.387999,0.420018,0.126275,0.545905,0.426207
488.000014,0.174679,0.167091,0.090852,0.950172,0.141089,0.269150,0.172401,0.227864,0.251814,0.275841,0.156057,0.389680,0.434664,0.132996,0.557798,0.414112
489.000014,0.192316,0.179094,0.101062,0.972218,0.145203,0.266007,0.170986,0.231555,0.266601,0.280407,0.147937,0.379826,0.438092,0.117623,0.559822,0.426492
490.000014,0.201074,0.199288,0.097365,0.968004,0.147967,0.264567,0.145397,0.222357,0.274353,0.271130,0.158018,0.380557,0.435699,0.116480,0.556739,0.427164
491.000014,0.188701,0.191200,0.104915,0.941318,0.149233,0.274223,0.157770,0.220631,0.257416,0.259363,0.154991,0.397921,0.442759,0.119059,0.551173,0.438761
492.000014,0.182769,0.179067,0.089779,0.942429,0.148140,0.275955,0.167173,0.227506,0.244926,0.245544,0.161645,0.400736,0.446056,0.118031,0.557384,0.430082
493.000014,0.169789,0.165946,0.092412,0.935426,0.152438,0.285455,0.181133,0.239216,0.242605,0.240029,0.155253,0.410910,0.452011,0.121619,0.572425,0.424966
494.000014,0.177869,0.166770,0.096020,0.967883,0.164055,0.273758,0.160025,0.249194,0.248155,0.245539,0.154512,0.404609,0.450020,0.122299,0.579731,0.418481
495.000014,0.173544,0.172668,0.110498,0.967890,0.157373,0.277598,0.142972,0.240091,0.243365,0.245893,0.156278,0.412385,0.449240,0.131893,0.565829,0.428114
496.000014,0.183943,0.181665,0.114031,0.944083,0.163518,0.261916,0.145250,0.233228,0.251372,0.259103,0.159756,0.403389,0.444506,0.136756,0.564586,0.419030
497.000014,0.171897,0.180978,0.116813,0.924405,0.155223,0.284837,0.161457,0.224455,0.263833,0.249070,0.161797,0.397861,0.434371,0.137135,0.554807,0.426696
498.000014,0.170084,0.183247,0.121686,0.925934,0.165040,0.284347,0.167382,0.235530,0.267403,0.254769,0.154923,0.391849,0.432443,0.141381,0.554307,0.413884
499.000014,0.151284,0.188807,0.115105,0.942054,0.170431,0.296511,0.163737,0.235053,0.254258,0.244295,0.156027,0.399649,0.443083,0.136688,0.533946,0.425898
500.000014,0.173202,0.189884,0.109345,0.944533,0.169872,0.288794,0.169596,0.238746,0.251309,0.244012,0.153894,0.411171,0.456876,0.138316,0.535446,0.418024
501.000014,0.174410,0.199226,0.115109,0.935421,0.178223,0.291888,0.180380,0.236828,0.260527,0.253752,0.168521,0.416931,0.469623,0.146586,0.531734,0.418615
502.000014,0.193678,0.196448,0.125874,0.963173,0.175513,0.291313,0.183595,0.243560,0.262252,0.264528,0.161036,0.416005,0.460700,0.149673,0.549253,0.425828
503.000014,0.178467,0.192086,0.125166,0.941978,0.183306,0.283865,0.168442,0.241586,0.254983,0.268939,0.158981,0.418690,0.455612,0.149304,0.555131,0.432431
504.000014,0.176294,0.186876,0.117519,0.918084,0.180065,0.288466,0.161046,0.233518,0.240216,0.267902,0.150902,0.428519,0.449393,0.140767,0.553960,0.434616
505.000014,0.166950,0.170382,0.109227,0.901253,0.176902,0.293951,0.160031,0.240263,0.236263,0.255672,0.161182,0.428458,0.448951,0.136310,0.531099,0.424843
506.000014,0.160662,0.180047,0.096887,0.899768,0.178550,0.304157,0.162389,0.236253,0.240685,0.249164,0.161351,0.418215,0.448817,0.141183,0.512181,0.417745
507.000014,0.157667,0.169649,0.094016,0.906171,0.176860,0.302373,0.174211,0.256183,0.239934,0.241411,0.160795,0.421872,0.447238,0.145507,0.524787,0.421096
508.000014,0.162118,0.196923,0.102927,0.911564,0.180424,0.301253,0.173028,0.251936,0.250547,0.250031,0.162178,0.435733,0.445153,0.153464,0.549138,0.421434
509.000014,0.173975,0.199082,0.115633,0.951630,0.175830,0.292582,0.164724,0.250773,0.249662,0.253033,0.167874,0.453760,0.445724,0.159532,0.544711,0.427045
510.000014,0.175187,0.185887,0.113050,0.953827,0.173920,0.287843,0.169347,0.249287,0.268634,0.246565,0.166716,0.453519,0.439434,0.149536,0.552753,0.418567
511.000014,0.171533,0.181010,0.131063,0.969953,0.166276,0.288335,0.165363,0.245323,0.272064,0.246941,0.167340,0.445006,0.437593,0.156873,0.542895,0.407954
512.000014,0.171029,0.182710,0.141537,0.955886,0.174281,0.288929,0.178192,0.251611,0.283290,0.240268,0.172757,0.451804,0.443780,0.150794,0.546324,0.405275
513.000014,0.170705,0.195547,0.151890,0.928644,0.168974,0.301538,0.182982,0.248345,0.266964,0.241384,0.179745,0.460043,0.452734,0.154306,0.524396,0.415769
514.000014,0.178144,0.196318,0.130286,0.907222,0.167528,0.300169,0.190856,0.255179,0.264293,0.238057,0.175475,0.460083,0.463515,0.149488,0.523393,0.426702
515.000014,0.173840,0.201497,0.131878,0.900963,0.168684,0.308880,0.183183,0.252957,0.256716,0.248463,0.166253,0.446249,0.456264,0.158835,0.525912,0.415618
516.000014,0.181471,0.219120,0.132354,0.945783,0.173103,0.301673,0.155134,0.243363,0.266325,0.253328,0.157292,0.445157,0.456074,0.167608,0.525441,0.411385
517.000014,0.177786,0.220768,0.140018,0.979623,0.181072,0.305547,0.153146,0.237174,0.263963,0.250916,0.150414,0.449586,0.458725,0.174386,0.526939,0.425430
518.000014,0.177207,0.217999,0.146467,0.974220,0.182120,0.313971,0.155373,0.236292,0.255473,0.252356,0.147650,0.468971,0.465452,0.167018,0.527856,0.444889
519.000014,0.175784,0.212831,0.138291,0.943346,0.194630,0.311669,0.173813,0.248578,0.256034,0.252569,0.154641,0.460242,0.461426,0.156176,0.533471,0.445650
520.000014,0.173503,0.204422,0.136659,0.914554,0.192721,0.314168,0.184431,0.250874,0.259027,0.250749,0.156687,0.472050,0.457777,0.148889,0.541072,0.438713
521.000014,0.181041,0.201642,0.136505,0.940602,0.189191,0.312243,0.188373,0.258090,0.260309,0.247441,0.156343,0.452664,0.456892,0.158978,0.557723,0.430378
522.000014,0.165894,0.210809,0.142399,0.936021,0.176313,0.318610,0.179669,0.251986,0.264997,0.251858,0.160845,0.454207,0.461819,0.170482,0.565004,0.434002
523.000014,0.162630,0.215266,0.154101,0.926765,0.175440,0.310963,0.173682,0.256826,0.264003,0.255190,0.167100,0.450711,0.464188,0.169282,0.552746,0.430206
524.000014,0.165685,0.230193,0.150545,0.906300,0.165251,0.321684,0.180587,0.257309,0.280923,0.252175,0.177143,0.463335,0.471369,0.161366,0.545184,0.437980
525.000014,0.180489,0.234084,0.156174,0.938881,0.170927,0.317100,0.184961,0.255110,0.287150,0.255160,0.172874,0.462871,0.478764,0.164100,0.543375,0.439359
526.000014,0.175305,0.237619,0.150152,0.978309,0.182102,0.319767,0.175752,0.255466,0.301967,0.252331,0.169598,0.458576,0.478400,0.175746,0.551966,0.441255
527.000014,0.163779,0.235860,0.144453,0.946869,0.192067,0.297009,0.179043,0.256106,0.296172,0.240552,0.172302,0.443599,0.476260,0.177930,0.539742,0.442112
528.000014,0.153692,0.226245,0.145621,0.927930,0.189766,0.292600,0.191257,0.262239,0.302982,0.226619,0.175918,0.437116,0.470975,0.166461,0.531935,0.434672
529.000014,0.164207,0.220730,0.141144,0.874738,0.190806,0.294297,0.199454,0.260873,0.298266,0.221060,0.178157,0.438933,0.467150,0.162144,0.519728,0.439690
530.000014,0.171135,0.217421,0.152890,0.880593,0.191425,0.294802,0.211906,0.262352,0.294465,0.232890,0.174767,0.439581,0.466134,0.169503,0.522022,0.433180
531.000014,0.177727,0.236748,0.169404,0.913916,0.196218,0.288971,0.199541,0.264707,0.293652,0.247963,0.170527,0.450278,0.468503,0.182348,0.530227,0.446276
532.000014,0.164111,0.249684,0.188381,0.930244,0.198561,0.277196,0.182665,0.256178,0.290288,0.250322,0.168435,0.449979,0.473547,0.186690,0.534090,0.443393
533.000014,0.171225,0.243448,0.184935,0.971794,0.201071,0.290038,0.180719,0.259349,0.296479,0.233852,0.169671,0.459608,0.472679,0.192931,0.536267,0.445030
534.000014,0.180638,0.230499,0.176765,0.965221,0.196860,0.308744,0.175379,0.259191,0.315596,0.214828,0.173794,0.455238,0.474723,0.190180,0.543579,0.429951
535.000014,0.203273,0.234784,0.177236,0.978121,0.189295,0.306972,0.187964,0.269686,0.335138,0.213948,0.174697,0.460008,0.479772,0.193261,0.562860,0.434494
536.000014,0.197433,0.222579,0.188587,0.912720,0.190034,0.296263,0.174833,0.266095,0.345740,0.215888,0.176603,0.466281,0.475348,0.185198,0.574270,0.433651
537.000014,0.202175,0.212451,0.186325,0.880725,0.195617,0.290166,0.197188,0.264215,0.331322,0.217836,0.174382,0.476100,0.474801,0.182608,0.565340,0.445754
538.000014,0.200195,0.203061,0.180786,0.880299,0.204361,0.304061,0.208198,0.264883,0.322610,0.215610,0.176390,0.464504,0.469765,0.176091,0.549395,0.432606
539.000014,0.215921,0.216576,0.176897,0.930039,0.213081,0.312125,0.199755,0.276655,0.326186,0.217714,0.177785,0.458083,0.481666,0.169804,0.542579,0.434065
540.000014,0.196333,0.237557,0.177412,0.932535,0.212139,0.318599,0.182664,0.275466,0.320603,0.220720,0.179807,0.446843,0.478292,0.177895,0.544050,0.427941
541.000014,0.185491,0.254034,0.173098,0.900481,0.209712,0.318371,0.179718,0.272931,0.332110,0.222879,0.183214,0.453124,0.481285,0.177559,0.545303,0.425932
542.000014,0.169528,0.250940,0.163857,0.867948,0.213169,0.317067,0.199137,0.271021,0.332249,0.222499,0.175240,0.454333,0.478068,0.186424,0.540598,0.413807
543.000014,0.182602,0.247930,0.158588,0.885806,0.218015,0.325862,0.216165,0.268014,0.334295,0.223467,0.175325,0.464036,0.470527,0.188474,0.542230,0.418760
544.000014,0.202314,0.231796,0.167250,0.939064,0.216789,0.326306,0.207837,0.275192,0.327382,0.220691,0.171358,0.457499,0.477008,0.193753,0.545517,0.418799
545.000014,0.208461,0.244351,0.178944,0.974588,0.201765,0.324395,0.184250,0.271193,0.322146,0.232526,0.180739,0.453181,0.476329,0.187356,0.548860,0.435274
546.000014,0.212186,0.230115,0.182331,0.976865,0.203140,0.313293,0.177628,0.275158,0.320650,0.225534,0.184362,0.446872,0.485224,0.170831,0.544680,0.443504
547.000014,0.205163,0.237001,0.180904,0.933147,0.210305,0.312704,0.193641,0.281385,0.324471,0.219881,0.185864,0.448881,0.473579,0.171338,0.541501,0.450560
548.000014,0.212690,0.245842,0.164970,0.933741,0.225577,0.318137,0.206540,0.285776,0.338050,0.211956,0.189143,0.449223,0.474270,0.178679,0.542620,0.441728
549.000014,0.208413,0.264781,0.174558,0.984621,0.223303,0.330221,0.197961,0.284131,0.352681,0.230682,0.194434,0.454015,0.478572,0.199838,0.540653,0.435893
550.000014,0.190940,0.267843,0.166930,1.018502,0.210538,0.339270,0.180529,0.268492,0.352362,0.243499,0.197124,0.456536,0.488641,0.199952,0.538990,0.431488
551.000014,0.160258,0.253042,0.174910,1.010707,0.201653,0.344531,0.185236,0.266843,0.346314,0.253460,0.190494,0.454170,0.488143,0.199232,0.542534,0.441049
552.000014,0.158950,0.244976,0.176298,0.952669,0.202222,0.332596,0.188812,0.268376,0.351604,0.248370,0.197169,0.454009,0.489447,0.197773,0.529362,0.433165
553.000014,0.188977,0.246287,0.183243,0.962155,0.221730,0.331748,0.193350,0.277316,0.345512,0.247516,0.189991,0.453356,0.488080,0.202251,0.527786,0.425912
554.000014,0.198607,0.246373,0.184644,0.959231,0.230580,0.334286,0.184245,0.278222,0.335801,0.242352,0.195061,0.451262,0.488685,0.205071,0.501616,0.414467
555.000014,0.200391,0.237865,0.189577,0.962103,0.234896,0.340146,0.186062,0.287122,0.328945,0.242281,0.185409,0.447473,0.483961,0.204583,0.528876,0.428173
556.000014,0.181048,0.236383,0.194937,0.951367,0.228130,0.330045,0.185637,0.292078,0.337748,0.245460,0.192886,0.443091,0.486460,0.208543,0.534488,0.436637
557.000014,0.190027,0.249105,0.203368,0.950581,0.226500,0.322921,0.173558,0.289229,0.336358,0.247016,0.190368,0.443946,0.478544,0.214626,0.549742,0.445171
558.000014,0.182784,0.246185,0.196890,0.967153,0.217728,0.312644,0.166137,0.289735,0.329852,0.249349,0.198256,0.447771,0.484380,0.208546,0.551727,0.433855
559.000014,0.184487,0.242699,0.191758,0.945154,0.220938,0.318385,0.170107,0.290907,0.319908,0.242275,0.196568,0.453236,0.485951,0.198901,0.552847,0.439996
560.000014,0.175769,0.238431,0.187014,0.916766,0.223748,0.324559,0.200179,0.300402,0.339536,0.244975,0.196182,0.451551,0.499711,0.189331,0.551824,0.434911
561.000014,0.193934,0.245807,0.182142,0.892165,0.248908,0.339567,0.207531,0.302953,0.340757,0.252213,0.186726,0.441493,0.495126,0.185434,0.540704,0.436056
562.000014,0.194131,0.252907,0.193977,0.892173,0.240059,0.348763,0.198850,0.295413,0.342076,0.262573,0.196682,0.445521,0.489294,0.197029,0.547557,0.432228
563.000014,0.208404,0.262182,0.194193,0.947923,0.235401,0.347960,0.176525,0.290917,0.317930,0.267522,0.206898,0.446808,0.488210,0.200803,0.542298,0.435479
564.000014,0.186062,0.287286,0.198967,0.952825,0.216498,0.349720,0.188324,0.298259,0.319591,0.255444,0.203246,0.446158,0.494639,0.210070,0.533414,0.426459
565.000014,0.194246,0.290026,0.182227,0.964941,0.235025,0.355378,0.201050,0.308028,0.320906,0.255977,0.199176,0.440205,0.493135,0.205660,0.522000,0.421911
566.000014,0.190059,0.295500,0.191336,0.958553,0.245651,0.352932,0.205430,0.310177,0.346972,0.256746,0.188537,0.442689,0.492497,0.206665,0.545241,0.427672
567.000014,0.193789,0.276027,0.192030,0.945428,0.245227,0.346128,0.186988,0.321618,0.339811,0.259970,0.193747,0.442461,0.497702,0.204340,0.543816,0.438161
568.000014,0.196707,0.272848,0.201302,0.914845,0.231856,0.337091,0.188146,0.319448,0.346670,0.258043,0.193497,0.440105,0.502532,0.206313,0.554235,0.437956
569.000014,0.212180,0.254041,0.193670,0.876557,0.230953,0.339087,0.193080,0.323597,0.336503,0.252052,0.200452,0.436679,0.502706,0.207844,0.544006,0.425201
570.000014,0.233485,0.260505,0.192933,0.888727,0.246724,0.352902,0.200469,0.308175,0.348147,0.266219,0.205174,0.439945,0.494346,0.218814,0.557605,0.422227
571.000014,0.210079,0.277989,0.195846,0.930678,0.251927,0.359733,0.205062,0.309896,0.343728,0.256672,0.205546,0.434380,0.490888,0.222701,0.540772,0.430714
572.000014,0.213338,0.308632,0.203143,0.991862,0.244298,0.353854,0.194911,0.308874,0.341453,0.259172,0.208448,0.429998,0.490182,0.219466,0.548791,0.451729
573.000014,0.207310,0.303562,0.202811,1.022974,0.244643,0.348115,0.194396,0.320377,0.330796,0.236958,0.198155,0.428867,0.489758,0.212905,0.544696,0.462405
574.000014,0.224017,0.290093,0.204159,1.004630,0.240839,0.351458,0.179526,0.321991,0.330733,0.244559,0.207886,0.418647,0.492853,0.212130,0.552120,0.469559
575.000014,0.211448,0.260935,0.205913,0.953698,0.255293,0.373550,0.203500,0.324917,0.334947,0.235906,0.185565,0.419973,0.494237,0.207144,0.540590,0.449984
576.000014,0.200419,0.270747,0.216670,0.924968,0.248498,0.371103,0.202013,0.309778,0.341301,0.253442,0.193434,0.407000,0.496229,0.217360,0.551594,0.436896
577.000014,0.201961,0.275436,0.224191,0.949433,0.252537,0.355233,0.203947,0.305119,0.334722,0.247717,0.188518,0.418311,0.495932,0.219896,0.553743,0.438752
578.000014,0.190336,0.289161,0.227425,0.934761,0.247401,0.348440,0.208539,0.302907,0.340650,0.255018,0.206589,0.421109,0.489236,0.236212,0.573437,0.445192
579.000014,0.192308,0.289790,0.227006,0.961057,0.248570,0.338664,0.212823,0.302434,0.330675,0.242802,0.203870,0.425169,0.492594,0.233400,0.571668,0.445805
580.000014,0.198567,0.281935,0.234133,0.970548,0.258935,0.343588,0.202170,0.311073,0.342900,0.244271,0.203804,0.434223,0.491201,0.232086,0.576378,0.435345
581.000014,0.208259,0.285241,0.219441,0.985694,0.257564,0.350074,0.182797,0.313503,0.336610,0.246126,0.207382,0.426391,0.501626,0.230527,0.562979,0.436709
