?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%]
494.000014,1.026199,0.674184,0.323047,0.335715,0.846791,0.513269,0.023269,1.000835,0.477168,0.289403,0.814907,0.630659,0.992345,0.561854,0.347100,0.503772
495.000014,1.066128,0.715705,0.340666,0.229241,0.863608,0.472990,-0.308252,1.015421,0.468442,0.290094,0.811491,0.648470,0.980325,0.566788,0.324125,0.522759
496.000014,1.120177,0.728887,0.359954,0.271455,0.882804,0.478095,-0.323800,1.032981,0.471494,0.290320,0.812046,0.657080,0.959612,0.530373,0.326178,0.527744
497.000014,1.140806,0.710555,0.358635,0.278573,0.883680,0.507213,-0.324669,1.039646,0.485276,0.293016,0.809521,0.652675,0.959450,0.541944,0.337491,0.512030
498.000014,1.140856,0.676146,0.350156,0.280185,0.863948,0.553799,-0.320554,1.036990,0.511316,0.315715,0.832843,0.648992,0.970389,0.542875,0.354595,0.502830
499.000014,1.115627,0.654247,0.332722,0.284781,0.853483,0.572833,-0.321546,1.034829,0.550740,0.315986,0.839415,0.636003,0.985500,0.584439,0.365246,0.505304
500.000014,1.146926,0.665357,0.332003,0.282008,0.858232,0.560654,-0.044129,1.039134,0.526840,0.322976,0.855470,0.650388,1.009395,0.577574,0.358720,0.512363
501.000014,1.180234,0.691080,0.332645,0.276159,0.897310,0.546458,-0.029798,1.061647,0.513697,0.316013,0.848988,0.648915,1.004794,0.570995,0.354806,0.511491
502.000014,1.200449,0.708268,0.352813,0.226571,0.907415,0.525295,-0.017754,1.069707,0.514928,0.332618,0.864357,0.667202,0.990028,0.568420,0.354223,0.511620
503.000014,1.200048,0.711903,0.349849,0.218392,0.924763,0.595063,-0.293985,1.079261,0.545664,0.329503,0.856274,0.681885,0.988734,0.587535,0.355018,0.514443
