?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],A 1.eps1 [%],C1.eps1 [%],A 1.dY [mm],C1.dY [mm]
474.000014,0.140953,0.143720,0.284530,0.282942,0.411554,0.255434,0.228769,0.330402,0.281663,0.287953,0.239047,0.179108,5.539306,5.539640
475.000014,0.174143,0.148443,0.302837,0.321540,0.434588,0.296025,0.232143,0.368971,0.269773,0.296535,0.238053,0.177858,5.549206,5.549330
476.000014,0.200420,0.131805,0.273197,0.297783,0.465906,0.299852,0.259516,0.357267,0.292558,0.287642,0.227666,0.168545,5.558611,5.558609
477.000014,0.196570,0.117774,0.266434,0.286762,0.495073,0.323340,0.271971,0.324956,0.312366,0.300173,0.231506,0.166564,5.568726,5.568613
478.000014,0.184001,0.132098,0.256799,0.298197,0.506947,0.325831,0.270258,0.315738,0.330892,0.307000,0.224084,0.169227,5.578118,5.577938
479.000014,0.215974,0.172339,0.276640,0.342104,0.484152,0.342978,0.279015,0.364834,0.278800,0.302151,0.235095,0.178487,5.587427,5.587091
480.000014,0.240976,0.183911,0.261527,0.334481,0.454413,0.314813,0.294891,0.387576,0.247410,0.289729,0.235453,0.167681,5.596922,5.596419
481.000014,0.254844,0.172360,0.253155,0.321187,0.456210,0.297230,0.308016,0.370555,0.237829,0.272398,0.246451,0.159033,5.605812,5.605202
482.000014,0.227222,0.158204,0.253010,0.313265,0.438004,0.300756,0.289094,0.344398,0.272654,0.287493,0.239905,0.154578,5.613235,5.612564
483.000014,0.219789,0.166318,0.284037,0.325816,0.439970,0.300252,0.287186,0.342680,0.289527,0.293334,0.234393,0.160809,5.619744,5.619090
484.000014,0.232906,0.196606,0.291445,0.333237,0.409650,0.298323,0.274347,0.363631,0.281686,0.298512,0.217187,0.172265,5.626187,5.625473
485.000014,0.264433,0.216187,0.287338,0.295600,0.412117,0.260504,0.292337,0.370424,0.262957,0.282084,0.210518,0.170255,5.634911,5.634047
486.000014,0.260865,0.219985,0.287827,0.276026,0.370004,0.246002,0.293005,0.381846,0.278097,0.268419,0.212079,0.171848,5.645558,5.644598
487.000014,0.262319,0.214525,0.301107,0.275982,0.357843,0.231172,0.292878,0.390981,0.276887,0.276598,0.214633,0.165643,5.658078,5.657041
488.000014,0.282254,0.219398,0.318834,0.280207,0.334449,0.223033,0.257120,0.385541,0.266467,0.278166,0.216139,0.165835,5.670603,5.669444
