?? [s],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],17.eps1 [%],18.eps1 [%],19.eps1 [%],20.eps1 [%]
467.000014,0.842471,0.657491,1.459026,0.963120,0.547524,0.352818,0.571699,0.243763,0.384807,0.269141
468.000014,0.866079,0.665950,1.479872,0.950237,0.543075,0.329172,0.630012,0.246504,0.366875,0.287008
469.000014,0.953449,0.661700,1.460930,0.980870,0.577391,0.315852,0.639697,0.236900,0.414936,0.314054
470.000014,0.967904,0.641403,1.448062,0.910445,0.612143,0.333923,0.637541,0.237258,0.388527,0.351602
471.000014,0.897076,0.644175,1.442926,0.913062,0.630792,0.323111,0.598103,0.251142,0.385301,0.314704
472.000014,0.826414,0.633674,1.460495,0.885105,0.634201,0.330839,0.586538,0.252427,0.336659,0.294854
473.000014,0.795656,0.629201,1.461302,0.945281,0.605366,0.307859,0.593799,0.264965,0.345483,0.292994
474.000014,0.826181,0.616791,1.490111,0.898579,0.588361,0.330756,0.604901,0.272604,0.356336,0.282930
475.000014,0.853078,0.616573,1.518049,0.899923,0.577124,0.310689,0.647205,0.266348,0.377275,0.284758
476.000014,0.918199,0.606394,1.538171,0.903934,0.554814,0.319001,0.692266,0.249563,0.421506,0.286354
477.000014,0.995959,0.604739,1.515419,0.960462,0.578512,0.338849,0.692914,0.260587,0.393802,0.315035
478.000014,1.062879,0.611852,1.497381,0.970716,0.584988,0.358955,0.681822,0.284780,0.359539,0.300681
479.000014,1.049562,0.604533,1.500142,0.971258,0.580874,0.359639,0.674999,0.306299,0.341766,0.272572
480.000014,1.070743,0.603736,1.504515,0.986107,0.569955,0.343993,0.677507,0.280715,0.355561,0.278897
481.000014,1.014516,0.626577,1.520439,0.959656,0.583768,0.328843,0.690425,0.272260,0.383448,0.317815
482.000014,1.007618,0.640834,1.549890,0.942823,0.638571,0.329010,0.701661,0.256614,0.350431,0.353940
483.000014,1.008527,0.650544,1.579831,0.943535,0.655112,0.319692,0.722149,0.253628,0.347601,0.381790
484.000014,1.071724,0.626537,1.576043,0.967524,0.666014,0.322335,0.714874,0.261999,0.335856,0.336635
485.000014,1.114759,0.632803,1.566153,0.991553,0.665045,0.308025,0.711842,0.297504,0.341582,0.308552
486.000014,1.035057,0.636171,1.566019,0.974780,0.635299,0.264752,0.758098,0.323590,0.367150,0.254224
487.000014,0.975049,0.640258,1.601642,0.954728,0.651872,0.249053,0.818743,0.293727,0.365185,0.296521
488.000014,0.959773,0.642543,1.607763,0.966313,0.656485,0.262898,0.821700,0.264114,0.375047,0.299385
489.000014,1.039357,0.628833,1.611266,1.002146,0.708298,0.307534,0.757739,0.242081,0.354763,0.313475
490.000014,1.125285,0.609891,1.600806,1.044070,0.715884,0.330914,0.680830,0.258746,0.351926,0.289495
