?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],B1.eps1 [%]
484.000014,0.748167,0.477630,0.567269,0.299314,0.419952,0.428989,0.752978,0.462539,0.389411,0.541738,0.475291,0.284179,0.119961,0.408343,0.285573,0.405600,0.044334
485.000014,0.752491,0.486998,0.571172,0.279500,0.434642,0.461701,0.727732,0.470432,0.378490,0.555967,0.475191,0.279262,0.117500,0.407148,0.283412,0.414580,0.049082
486.000014,0.742803,0.488454,0.595582,0.272277,0.442062,0.467997,0.719989,0.472968,0.382181,0.569617,0.478638,0.292701,0.124060,0.414656,0.289794,0.420115,0.054887
487.000014,0.756430,0.499230,0.500411,0.268681,0.449555,0.457182,0.404712,0.468505,0.382900,0.581013,0.477046,0.291066,0.140965,0.412610,0.283963,0.417266,0.047880
488.000014,0.762945,0.506532,0.502815,0.283512,0.449000,0.435532,0.429157,0.469298,0.402997,0.580672,0.482026,0.299304,0.127276,0.413277,0.291898,0.401929,0.040217
489.000014,0.787243,0.514299,0.481063,0.291047,0.450470,0.432045,0.423998,0.474964,0.398466,0.578235,0.492100,0.304758,0.125181,0.415571,0.305527,0.398903,0.047979
490.000014,0.789448,0.514064,0.482122,0.304697,0.446775,0.442760,0.422718,0.480132,0.413940,0.568243,0.495302,0.315883,0.126004,0.422425,0.315239,0.395914,0.052337
491.000014,0.786755,0.506131,0.473270,0.284153,0.445957,0.459549,0.384971,0.480006,0.409337,0.598302,0.496997,0.336512,0.260527,0.435360,0.296378,0.400512,0.053716
492.000014,0.799687,0.503134,0.480535,0.274227,0.451638,0.474400,0.372353,0.488606,0.405793,0.626828,0.504587,0.339287,0.390561,0.436894,0.278843,0.399173,0.034436
493.000014,0.810278,0.522002,0.464220,0.270549,0.468023,0.456313,0.388216,0.499991,0.382418,0.582762,0.512401,0.343570,0.366114,0.429819,0.277537,0.394076,0.034862
494.000014,0.828946,0.525958,0.460765,0.260813,0.474785,0.448404,0.404130,0.515738,0.383597,0.554525,0.514985,0.324452,0.239923,0.416682,0.294789,0.394911,0.040536
495.000014,0.830852,0.525969,0.455240,0.272256,0.482108,0.426043,0.434990,0.521898,0.385942,0.546139,0.511424,0.325007,0.119616,0.413840,0.305792,0.398825,0.055849
496.000014,0.822540,0.511850,0.450070,0.285325,0.482125,0.436075,0.423623,0.524375,0.400911,0.573559,0.513263,0.315733,0.140148,0.419512,0.320870,0.406047,0.069466
497.000014,0.823383,0.504863,0.464505,0.302645,0.482480,0.440247,0.413749,0.528046,0.427101,0.652754,0.518985,0.325132,0.262564,0.434195,0.318127,0.394667,0.069340
498.000014,0.829903,0.509019,0.493505,0.280856,0.479757,0.461759,0.388788,0.517038,0.446358,0.668784,0.518081,0.330376,0.263618,0.439668,0.308671,0.396563,0.052313
499.000014,0.825442,0.524413,0.521966,0.267941,0.482296,0.465304,0.390870,0.518668,0.431169,0.661742,0.527477,0.339873,0.260690,0.445075,0.291880,0.389515,0.045644
500.000014,0.829551,0.529978,0.514103,0.260960,0.492176,0.467980,0.414191,0.523206,0.419462,0.593806,0.529229,0.336038,0.139536,0.442221,0.308347,0.407422,0.045728
501.000014,0.831429,0.535480,0.503548,0.260172,0.499550,0.475590,0.416112,0.537103,0.414035,0.546416,0.536938,0.349014,0.133351,0.443689,0.304416,0.409474,0.050540
502.000014,0.862523,0.540957,0.482143,0.274483,0.509899,0.470543,0.433876,0.550824,0.418173,0.553679,0.541408,0.342381,0.143302,0.439854,0.315887,0.412897,0.047133
503.000014,0.868177,0.544372,0.465786,0.287192,0.514901,0.469455,0.429611,0.559785,0.433145,0.559159,0.548932,0.337155,0.153369,0.444806,0.312362,0.425034,0.047856
504.000014,0.883236,0.535375,0.448360,0.292851,0.510350,0.464700,0.429662,0.559544,0.437967,0.593946,0.551841,0.337004,0.168014,0.458627,0.319736,0.418721,0.051427
505.000014,0.880197,0.532933,0.475471,0.269434,0.509471,0.476174,0.406838,0.561190,0.461696,0.612467,0.558520,0.356334,0.175876,0.468777,0.319620,0.431766,0.042896
