?? [s],? 1.eps1 [%],? 2.eps1 [%],? 3.eps1 [%],? 4.eps1 [%]
605.000026,1.830401,1.287437,1.382471,1.245467
605.500026,1.836823,1.306780,1.367146,1.255443
606.000026,1.835654,1.304457,1.386676,1.256221
606.500026,1.845026,1.313398,1.372563,1.261702
607.000026,1.850699,1.313042,1.383991,1.259236
607.500026,1.862534,1.322649,1.383804,1.269672
608.000026,1.885011,1.337214,1.394624,1.277576
608.500026,1.911975,1.343812,1.419364,1.301129
609.000026,1.932065,1.366858,1.473692,1.313696
609.500026,1.956852,1.385244,1.498084,1.337073
610.000026,1.977778,1.432001,1.505225,1.341200
610.500026,2.009757,1.455308,1.473923,1.352214
611.000026,2.037094,1.474881,1.480368,1.362676
611.500026,2.066443,1.486845,1.500316,1.368430
612.000026,2.095042,1.510850,1.533959,1.378633
612.500026,2.120821,1.539522,1.554690,1.402833
613.000026,2.155480,1.551246,1.584633,1.432312
613.500026,2.175908,1.566865,1.587456,1.459191
614.000026,2.192964,1.562636,1.607653,1.462908
614.500026,2.202929,1.570535,1.604142,1.481617
615.000026,2.221012,1.592689,1.609029,1.482150
615.500026,2.231261,1.634766,1.618752,1.490153
616.000026,2.247872,1.676443,1.621436,1.486610
616.500026,2.270719,1.680115,1.653241,1.500076
617.000026,2.311125,1.669921,1.683388,1.517427
617.500026,2.337995,1.675640,1.720461,1.535227
618.000026,2.357784,1.702016,1.732579,1.550367
618.500026,2.366141,1.731704,1.730536,1.563754
619.000026,2.400069,1.749877,1.754508,1.580699
619.500026,2.424099,1.761347,1.784233,1.580350
620.000026,2.464134,1.793750,1.796768,1.591806
620.500026,2.493483,1.815041,1.789017,1.601221
621.000026,2.531687,1.849832,1.789716,1.615895
621.500026,2.559513,1.860563,1.817082,1.629292
622.000026,2.580555,1.877852,1.849126,1.646835
622.500026,2.595366,1.880851,1.879388,1.674422
623.000026,2.607031,1.907644,1.892551,1.689095
623.500026,2.614710,1.930401,1.896562,1.704370
624.000026,2.641905,1.967671,1.901132,1.711336
624.500026,2.679800,1.998285,1.927838,1.730271
625.000026,2.715823,2.028374,1.946009,1.733303
625.500026,2.742365,2.034200,1.967120,1.755822
626.000026,2.767067,2.041830,1.977642,1.773407
626.500026,2.804050,2.054871,2.007832,1.804477
627.000026,2.840278,2.085299,2.028277,1.820111
627.500026,2.871067,2.098123,2.067542,1.835527
628.000026,2.909671,2.120559,2.105711,1.859547
628.500026,2.955679,2.143313,2.138487,1.880397
629.000026,3.004515,2.186481,2.153200,1.905531
629.500026,3.055928,2.230141,2.151786,1.932720
630.000026,3.106048,2.259984,2.176430,1.966425
630.500026,3.148265,2.295344,2.186383,1.995665
631.000026,3.186196,2.312639,2.218744,2.017121
631.500026,3.230851,2.360546,2.240060,2.040158
632.000026,3.288198,2.398765,2.275426,2.078277
632.500026,3.354480,2.445494,2.303583,2.117699
633.000026,3.416497,2.483709,2.324627,2.162995
633.500026,3.470086,2.494141,2.357895,2.198697
634.000026,3.513678,2.522535,2.375822,2.226335
634.500026,3.557073,2.534873,2.401332,2.239484
635.000026,3.592459,2.571042,2.410929,2.254996
635.500026,3.636418,2.567960,2.450033,2.269370
636.000026,3.807817,2.869671,2.492387,2.316350
636.500026,4.028264,3.165344,2.583852,2.357774
637.000026,4.259814,3.472082,2.674185,2.403977
637.500026,4.370495,3.504872,2.744622,2.420398
638.000026,4.462439,3.576387,2.810952,2.452922
638.500026,4.547142,3.706420,2.855401,2.482437
639.000026,4.646842,3.858509,2.911643,2.522832
639.500026,4.774039,3.996710,2.990252,2.551898
640.000026,4.923730,4.143525,3.058040,2.610308
640.500026,5.056680,4.334376,3.144269,2.668876
641.000026,5.175099,4.572040,3.174960,2.721253
641.500026,5.276385,4.785456,3.232814,2.753170
642.000026,5.373767,4.955702,3.306545,2.786065
642.500026,5.454961,5.072448,3.365973,2.821759
643.000026,5.528069,5.213353,3.410069,2.865216
643.500026,5.612850,5.368150,3.419422,2.901430
644.000026,5.689140,5.567050,3.452681,2.958743
644.500026,5.773125,5.725061,3.515170,3.007066
645.000026,5.837182,5.856693,3.555245,3.062514
645.500026,5.920480,5.953526,3.608776,3.086062
646.000026,5.984425,6.037808,3.643512,3.105914
646.500026,5.994301,6.204570,3.649810,3.110381
647.000026,5.979023,6.374350,3.633384,3.128764
647.500026,5.912477,6.615369,3.594114,3.148730
648.000026,5.873081,6.704164,3.607218,3.176440
648.500026,5.846731,6.807869,3.633031,3.195748
649.000026,5.870439,6.948403,3.655417,3.232472
649.500026,5.936301,7.146106,3.698396,3.284203
650.000026,6.011747,7.346211,3.718557,3.346768
650.500026,6.089104,7.486842,3.770097,3.403868
651.000026,6.173481,7.553354,3.809000,3.457031
651.500026,6.489603,8.337962,3.912002,3.512780
652.000026,6.589254,8.612482,3.958814,3.580016
652.500026,6.954802,9.635950,4.033609,3.672911
653.000026,7.121559,10.041493,4.064093,3.780814
653.500026,7.581691,11.007137,4.182254,3.896304
654.000026,7.773518,11.392006,4.263316,4.006792
654.500026,7.940467,11.732550,4.344078,4.084694
655.000026,8.084233,12.075511,4.405752,4.166101
655.500026,8.262595,12.437825,4.468392,4.243385
656.000026,8.259591,11.696911,4.531709,4.359920
656.500026,8.498765,12.058423,4.574780,4.449004
657.000026,8.557543,11.687411,4.619816,4.551796
657.500026,8.802828,12.408725,4.646334,4.621950
658.000026,8.785510,11.920089,4.657086,4.684075
658.500026,8.935215,12.090600,4.682582,4.728938
659.000026,9.122544,12.272900,4.707216,4.798564
659.500026,9.347497,12.543084,4.749308,4.888953
660.000026,9.568959,12.864647,4.768654,4.967917
660.500026,9.769602,12.478110,4.785670,5.051302
661.000026,9.984474,12.896974,4.789959,5.144579
661.500026,10.477552,12.682157,4.787388,5.248909
662.000026,11.062836,13.453905,4.962381,5.369505
662.500026,11.840063,13.480826,5.174356,5.541622
663.000026,12.294428,13.944605,5.457771,5.798484
663.500026,12.837838,,5.558083,6.175066
664.000026,12.965579,,5.626746,7.572161
664.500026,,,,8.301130
665.000026,,,,
665.500026,,,,
666.000026,,,,
666.500026,,,,
667.000026,,,,
667.500026,,,,
668.000026,,,,
668.500026,,,,
669.000026,,,,
669.500026,,,,
670.000026,,,,
670.500026,,,,
671.000026,,,,
