?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%]
520.000000,0.794288,0.215016,0.346754,,0.197556,0.559093,0.529143,0.533599,0.543148,0.452162,0.367927,0.429469,1.080249,0.275432,0.132709,0.352516
530.000000,0.820460,0.205389,0.353965,,0.221758,0.573916,0.529914,0.551339,0.557796,0.470108,0.377257,0.449398,1.080175,0.269026,0.144259,0.345411
540.000000,0.859809,0.223421,0.347740,,0.248067,0.596019,0.543110,0.594735,0.579378,0.489492,0.387806,0.469993,1.083307,0.268705,0.154190,0.349943
550.000000,0.902471,0.255517,0.349669,,0.279748,0.611729,0.555252,0.637042,0.589254,0.516062,0.407214,0.477055,1.095752,0.282526,0.156953,0.373815
560.000000,0.938431,0.293489,0.362222,,0.325952,0.646061,0.581879,0.684964,0.613002,0.552498,0.418586,0.497853,1.114168,0.283374,0.163014,0.396023
570.000000,0.991659,0.341781,0.376234,,0.384974,0.688409,0.623499,0.721581,0.642837,0.579983,0.444913,0.517049,1.137373,0.291058,0.175414,0.412822
580.000000,1.075966,0.404505,0.382230,,0.482841,0.739122,0.661072,0.784890,0.708226,0.627440,0.473961,0.563873,1.157855,0.311933,0.187535,0.425108
590.000000,1.168114,0.455904,0.368707,,0.560961,0.772450,0.692975,0.849303,0.762510,0.665596,0.511220,0.587602,1.147049,0.329001,0.207886,0.426612
591.000014,1.224904,0.485407,0.375179,,0.624794,0.792925,0.704980,0.904097,0.803973,0.703763,0.525192,0.610423,1.154162,0.336180,0.205622,0.426634
592.000014,1.233080,0.499396,0.378814,,0.623943,0.800281,0.709698,0.915778,0.803728,0.716093,0.537690,0.609842,1.140629,0.319522,0.213304,0.421625
593.000014,1.230359,0.512950,0.392046,,0.631921,0.809599,0.713162,0.921531,0.798814,0.714278,0.545457,0.618914,1.155599,0.322117,0.206740,0.434172
594.000014,1.233099,0.516701,0.389138,,0.641619,0.811967,0.714331,0.933754,0.803354,0.707642,0.552130,0.626592,1.147932,0.317871,0.211543,0.440451
595.000014,1.250816,0.523431,0.387753,,0.660076,0.808473,0.716648,0.953658,0.818527,0.708583,0.555787,0.623609,1.156883,0.339507,0.214388,0.441221
596.000014,1.270933,0.528848,0.379652,,0.680501,0.808640,0.715979,0.967568,0.831336,0.720458,0.553545,0.631319,1.173670,0.342020,0.218693,0.431373
597.000014,1.282330,0.547566,0.392656,,0.698302,0.818663,0.724473,0.969773,0.837485,0.732301,0.558584,0.631216,1.176665,0.340703,0.226595,0.429393
598.000014,1.298670,0.553144,0.387299,,0.712476,0.828214,0.731102,0.979761,0.845217,0.738051,0.557495,0.644785,1.170561,0.338796,0.232429,0.425499
599.000014,1.314960,0.568695,0.390310,,0.723160,0.848377,0.750351,0.995953,0.861527,0.738234,0.559677,0.643305,1.171550,0.337081,0.238016,0.431728
600.000014,1.337953,0.579426,0.390921,,0.733335,0.863467,0.760648,1.023843,0.877794,0.746557,0.570234,0.651776,1.195929,0.346912,0.241351,0.439065
601.000014,1.350595,0.594268,0.384419,,0.762341,0.882753,0.771379,1.040655,0.903491,0.760667,0.591903,0.661430,1.213566,0.348430,0.235087,0.442758
602.000014,1.362108,0.610363,0.382479,,0.779416,0.890737,0.778765,1.052857,0.910945,0.777967,0.599928,0.676388,1.205622,0.366637,0.235887,0.446000
603.000014,1.381888,0.616939,0.360794,,0.807180,0.907961,0.796608,1.069372,0.929286,0.784555,0.599447,0.687403,1.208090,0.374235,0.223826,0.453966
604.000014,1.388669,0.635360,0.351431,,0.822138,0.909847,0.803999,1.087449,0.933274,0.788659,0.592448,0.693094,1.222180,0.377451,0.225978,0.455611
605.000014,1.404625,0.646713,0.343323,,0.848437,0.914646,0.806864,1.104783,0.951021,0.796420,0.601385,0.692478,1.236811,0.373949,0.225074,0.464441
606.000014,1.413979,0.652853,0.341480,,0.869858,0.924438,0.810322,1.129874,0.960649,0.813444,0.609914,0.691269,1.246787,0.368834,0.228525,0.463715
607.000014,1.446744,0.664605,0.357176,,0.897743,0.932451,0.810427,1.153840,0.974449,0.821945,0.609952,0.690860,1.240158,0.368125,0.229147,0.477742
608.000014,1.470538,0.675005,0.358379,,0.917891,0.950811,0.821460,1.174331,0.999928,0.836734,0.620009,0.698193,1.255615,0.359353,0.230810,0.466312
609.000014,1.498238,0.709568,0.366981,,0.940332,0.956701,0.826113,1.191934,1.035958,0.853912,0.627590,0.716969,1.265116,0.354853,0.231731,0.471159
610.000014,1.512360,0.729823,0.376666,,0.974558,0.986272,0.846255,1.215102,1.068420,0.880245,0.646540,0.740659,1.275059,0.361357,0.235593,0.466828
611.000014,1.540875,0.758819,0.390538,,1.030465,1.009706,0.864895,1.257559,1.097302,0.897849,0.659154,0.751811,1.259936,0.382829,0.235394,0.473702
612.000014,1.566350,0.777067,0.400755,,1.071939,1.033039,0.881522,1.287517,1.123113,0.913511,0.675371,0.759973,1.273174,0.399263,0.242656,0.467128
613.000014,1.595174,0.797842,0.398108,,1.106920,1.046563,0.890205,1.323345,1.152648,0.929440,0.698080,0.761200,1.288807,0.403343,0.244325,0.467200
614.000014,1.609765,0.807349,0.405333,,1.124953,1.055921,0.895220,1.345603,1.179146,0.951908,0.716914,0.779226,1.317810,0.396051,0.248036,0.461108
615.000014,1.624086,0.825988,0.400366,,1.154205,1.077917,0.911431,1.370402,1.198234,0.961374,0.727113,0.793534,1.313793,0.408996,0.241807,0.468916
616.000014,1.640437,0.836102,0.401826,,1.174027,1.089169,0.923782,1.384384,1.221502,0.975355,0.726057,0.810829,1.317353,0.427054,0.236905,0.474395
617.000014,1.660809,0.857488,0.403767,,1.205539,1.097754,0.928220,1.412959,1.240786,0.995309,0.730233,0.819270,1.302457,0.428664,0.236642,0.476622
618.000014,1.687842,0.867969,0.411095,,1.235093,1.104349,0.934068,1.434938,1.264682,1.024312,0.737236,0.816079,1.308993,0.412220,0.250010,0.479339
619.000014,1.713138,0.871681,0.388707,,1.269941,1.127214,0.950870,1.467873,1.296195,1.044674,0.757317,0.825546,1.311811,0.404354,0.256811,0.485291
620.000014,1.735979,0.894610,0.369765,,1.301640,1.150872,0.970041,1.483024,1.323791,1.055148,0.759578,0.824963,1.339986,0.412172,0.260070,0.494197
621.000014,1.754877,0.934059,0.354076,,1.343333,1.157407,0.975973,1.513313,1.360126,1.074592,0.772112,0.841557,1.363727,0.445669,0.258885,0.492513
