?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],17.eps1 [%],18.eps1 [%],19.eps1 [%],20.eps1 [%]
445.000014,0.599157,0.969663,0.568046,0.422050,0.668587,0.579086,0.582891,0.731007,0.376755,0.301041,0.356643,0.765904,0.551854,0.512335,0.526497,0.424786,0.758949,0.603328,0.759570,0.608980
446.000014,0.616079,0.949246,0.617169,0.422796,0.671309,0.576121,0.566672,0.747288,0.385801,0.308209,0.364518,0.769554,0.565534,0.508627,0.554962,0.414634,0.728577,0.581162,0.762836,0.597626
447.000014,0.601353,0.922419,0.630787,0.370555,0.717431,0.588504,0.498798,0.766763,0.379233,0.318975,0.365993,0.771868,0.563354,0.532393,0.553478,0.402494,0.729109,0.580114,0.772703,0.592295
448.000014,0.616529,0.872288,0.655879,0.381497,0.862774,0.593486,0.499412,0.782261,0.389656,0.339706,0.350166,0.732630,0.571534,0.552549,0.550330,0.394309,0.724729,0.585958,0.780974,0.603432
449.000014,0.600882,0.944969,0.597292,0.379650,0.815362,0.583034,0.564569,0.769500,0.389282,0.355259,0.310449,0.692392,0.593653,0.599697,0.524474,0.405370,0.748347,0.595512,0.794314,0.609442
450.000014,0.602811,1.034670,0.601726,0.437135,0.836017,0.568262,0.586181,0.753993,0.396457,0.377709,0.281401,0.656422,0.649559,0.590989,0.529451,0.410407,0.737821,0.599098,0.805672,0.613389
451.000014,0.622119,1.084626,0.555373,0.459244,0.903735,0.553598,0.654482,0.765754,0.389737,0.380103,0.299016,0.646770,0.696883,0.620566,0.549768,0.424073,0.731688,0.583050,0.821950,0.616647
452.000014,0.627766,1.133152,0.571596,0.487318,1.040169,0.560376,0.713145,0.772738,0.383738,0.391372,0.331268,0.630012,0.728463,0.670533,0.581810,0.448713,0.753107,0.594951,0.833716,0.632095
453.000014,0.654661,1.148443,0.603725,0.513103,1.134767,0.553389,0.682456,0.766159,0.399058,0.415958,0.351999,0.625944,0.750308,0.727524,0.606634,0.471083,0.765291,0.610322,0.860364,0.645191
454.000014,0.687036,1.196880,0.634767,0.521387,1.156194,0.557739,0.660463,0.730216,0.395535,0.425576,0.381303,0.618826,0.764705,0.773110,0.639815,0.500735,0.764790,0.622449,0.874186,0.640077
