?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm],,? 1.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],?2.dY [mm],?3.dY [mm],? 3-1.dY [mm],? 3-2.dY [mm],? 3-3.dY [mm],,deformation2-1,deformation2-3
320,3.361546,3.413765,3.354359,,3.371988,3.376993,3.382584,3.388145,3.420423,3.366907,3.371345,3.375836,3.380025,,0.048435,0.053516
330,3.451154,3.50826,3.444399,,3.462719,3.469106,3.474594,3.478553,3.515026,3.457418,3.464165,3.46728,3.472542,,0.052307,0.057608
340,3.537591,3.599722,3.53044,,3.55584,3.560591,3.56799,3.572003,3.612757,3.550077,3.55765,3.560937,3.566536,,0.056917,0.06268
350,3.62266,3.689726,3.616188,,3.632812,3.639274,3.646404,3.650563,3.693851,3.627498,3.636086,3.638907,3.645613,,0.061039,0.066353
360,3.705244,3.777488,3.698147,,3.719581,3.727406,3.734075,3.740465,3.785221,3.714006,3.723138,3.726873,3.733792,,0.06564,0.071215
370,3.79263,3.870467,3.786076,,3.804648,3.812748,3.819961,3.8266,3.87547,3.798902,3.808901,3.814414,3.819992,,0.070822,0.076568
380,3.880684,3.964602,3.874368,,3.896271,3.903708,3.912284,3.921607,3.97277,3.891124,3.900316,3.907712,3.913008,,0.076499,0.081646
390,3.970163,4.060696,3.96495,,3.985097,3.994217,4.002542,4.011765,4.06806,3.980229,3.988244,3.997246,4.003822,,0.082963,0.087831
400,4.055203,4.152687,4.050999,,4.074792,4.084857,4.093617,4.102106,4.163118,4.070111,4.080112,4.088361,4.095679,,0.088326,0.093007
410,4.116486,4.218949,4.111756,,4.153462,4.16312,4.173108,4.181921,4.247707,4.148968,4.15953,4.168947,4.17652,,0.094245,0.098739
411.000014,4.149973,4.255329,4.145235,,4.170913,4.180571,4.191634,4.201607,4.266651,4.166015,4.178486,4.185806,4.194145,,0.095738,0.100636
412.000014,4.160704,4.266917,4.156252,,4.176097,4.185251,4.196578,4.20815,4.272517,4.171741,4.183772,4.192888,4.19969,,0.09642,0.100776
413.000014,4.168595,4.275498,4.165072,,4.185568,4.194476,4.205825,4.216701,4.282589,4.181541,4.192304,4.202122,4.20899,,0.097021,0.101048
414.000014,4.175975,4.283557,4.172874,,4.194252,4.203384,4.214729,4.2243,4.291915,4.189809,4.200561,4.21039,4.218567,,0.097663,0.102106
415.000014,4.182794,4.29078,4.178714,,4.19826,4.208416,4.218711,4.228039,4.29614,4.194266,4.206305,4.214565,4.22266,,0.09788,0.101874
416.000014,4.187432,4.295722,4.183294,,4.206803,4.217901,4.228176,4.238149,4.30511,4.202964,4.215498,4.223059,4.231604,,0.098307,0.102146
417.000014,4.193266,4.302127,4.18831,,4.208485,4.218155,4.229922,4.239851,4.307394,4.204734,4.217046,4.224825,4.233158,,0.098909,0.10266
418.000014,4.198425,4.307686,4.19391,,4.215845,4.226407,4.237443,4.248502,4.315465,4.21165,4.223987,4.233136,4.240514,,0.09962,0.103815
419.000014,4.206908,4.317099,4.202123,,4.221888,4.230757,4.243392,4.255573,4.321927,4.218371,4.229029,4.239585,4.246561,,0.100039,0.103556
420.000014,4.21627,4.327121,4.212294,,4.233667,4.242228,4.2547,4.264782,4.334974,4.229778,4.241015,4.250855,4.259361,,0.101307,0.105196
421.000014,4.227095,4.339009,4.222822,,4.24451,4.255686,4.266304,4.275684,4.346441,4.240819,4.252756,4.261109,4.269997,,0.101931,0.105622
422.000014,4.236635,4.349482,4.232247,,4.25511,4.264802,4.277274,4.288788,4.357513,4.250996,4.26422,4.273262,4.280938,,0.102403,0.106517
423.000014,4.246377,4.360168,4.242246,,4.262437,4.272776,4.284471,4.295617,4.366119,4.259272,4.270608,4.28132,4.288673,,0.103682,0.106847
424.000014,4.255968,4.370541,4.252436,,4.273282,4.283505,4.295551,4.304902,4.377306,4.269701,4.28113,4.291939,4.300065,,0.104024,0.107605
425.000014,4.26554,4.380945,4.26218,,4.283986,4.29449,4.306309,4.316687,4.388878,4.280321,4.292504,4.30154,4.310891,,0.104892,0.108557
426.000014,4.275328,4.391633,4.271406,,4.292219,4.302897,4.315035,4.326245,4.398227,4.288523,4.302057,4.310411,4.319426,,0.106008,0.109704
427.000014,4.282973,4.400086,4.278901,,4.302972,4.313647,4.325875,4.336932,4.410166,4.299934,4.312755,4.322115,4.330373,,0.107194,0.110232
428.000014,4.291485,4.409339,4.288088,,4.306423,4.317826,4.329458,4.341079,4.413789,4.303514,4.315876,4.326415,4.334298,,0.107366,0.110275
429.000014,4.297142,4.415871,4.294217,,4.317142,4.328531,4.340017,4.350527,4.425446,4.314162,4.326107,4.336333,4.345403,,0.108304,0.111284
430.000014,4.304205,4.423739,4.30158,,4.32038,4.330736,4.343309,4.353522,4.428932,4.31704,4.329572,4.338975,4.348702,,0.108552,0.111892
431.000014,4.30996,4.430342,4.306737,,4.328599,4.340058,4.351879,4.361858,4.437599,4.325192,4.33861,4.347943,4.357126,,0.109,0.112407
432.000014,4.317638,4.43841,4.31424,,4.335326,4.345989,4.358756,4.371083,4.444636,4.332083,4.345732,4.354697,4.363807,,0.10931,0.112553
433.000014,4.325856,4.447505,4.32244,,4.343467,4.354829,4.367403,4.378995,4.454137,4.340785,4.353428,4.364158,4.37222,,0.11067,0.113352
434.000014,4.336056,4.458604,4.33315,,4.352884,4.364795,4.376619,4.388234,4.464725,4.3503,4.361712,4.373065,4.382684,,0.111841,0.114425
435.000014,4.34685,4.470958,4.343226,,4.365595,4.377509,4.389372,4.401307,4.478047,4.362629,4.376707,4.385963,4.395434,,0.112452,0.115418
436.000014,4.357914,4.483061,4.353811,,4.377036,4.388,4.400791,4.41388,4.489658,4.373963,4.387811,4.397774,4.406504,,0.112622,0.115695
437.000014,4.368976,4.495175,4.364584,,4.386459,4.397731,4.410411,4.422669,4.501256,4.384143,4.396208,4.408157,4.416775,,0.114797,0.117113
438.000014,4.378782,4.50581,4.375408,,4.398948,4.411141,4.423378,4.435189,4.514835,4.396243,4.410078,4.420406,4.430153,,0.115887,0.118592
439.000014,4.387909,4.51592,4.385347,,4.405991,4.417242,4.430872,4.442291,4.522323,4.403556,4.417643,4.427171,4.437144,,0.116332,0.118767
440.000014,4.395073,4.523946,4.392752,,4.414883,4.427581,4.439545,4.452516,4.531192,4.412189,4.427115,4.436599,4.446239,,0.116309,0.119003
441.000014,4.402382,4.531833,4.39951,,4.42132,4.434081,4.446382,4.458846,4.538284,4.418902,4.433391,4.44384,4.452452,,0.116964,0.119382
442.000014,4.40765,4.537795,4.404598,,4.427733,4.440565,4.453,4.465271,4.545933,4.426101,4.439582,4.450752,4.459885,,0.1182,0.119832
443.000014,4.412378,4.542963,4.409696,,4.430063,4.441372,4.455334,4.466841,4.549023,4.42806,4.441125,4.452441,4.461873,,0.11896,0.120963
444.000014,4.415893,4.547189,4.413424,,4.434724,4.446997,4.459899,4.471652,4.554122,4.432541,4.445641,4.457163,4.467197,,0.119398,0.121581
445.000014,4.42075,4.552538,4.41863,,4.438172,4.451798,4.463407,4.475395,4.558559,4.436319,4.449798,4.461333,4.471505,,0.120387,0.12224
446.000014,4.427976,4.560508,4.425846,,4.444972,4.457875,4.470268,4.482216,4.565307,4.442613,4.456511,4.467244,4.477841,,0.120335,0.122694
447.000014,4.436883,4.57012,4.434688,,4.457718,4.471037,4.483162,4.495391,4.57819,4.455124,4.470524,4.48042,4.490161,,0.120472,0.123066
448.000014,4.449072,4.583529,4.447072,,4.466054,4.478519,4.492043,4.504604,4.588014,4.46395,4.477971,4.489779,4.498893,,0.12196,0.124064
449.000014,4.461128,4.596874,4.459083,,4.481434,4.495473,4.507669,4.519969,4.605082,4.47971,4.494165,4.505227,4.515881,,0.123648,0.125372
450.000014,4.474955,4.612104,4.472905,,4.494002,4.507244,4.520445,4.5336,4.618151,4.492223,4.507199,4.517405,4.528411,,0.124149,0.125928
451.000014,4.48637,4.62503,4.484641,,4.507829,4.520654,4.534116,4.547343,4.633538,4.505858,4.520884,4.532384,4.542199,,0.125709,0.12768
452.000014,4.498107,4.638129,4.496548,,4.516285,4.529334,4.543027,4.554808,4.644146,4.514732,4.529217,4.541691,4.552302,,0.127861,0.129414
453.000014,4.506735,4.647975,4.506153,,4.528946,4.542657,4.55558,4.56995,4.657048,4.52763,4.542389,4.553323,4.564827,,0.128102,0.129418
454.000014,4.515938,4.657962,4.513692,,4.533907,4.548214,4.561003,4.575311,4.662312,4.532538,4.548081,4.558679,4.569741,,0.128405,0.129774
455.000014,4.521651,4.664657,4.519711,,4.54476,4.558811,4.571561,4.584557,4.674209,4.543085,4.558491,4.570412,4.580203,,0.129449,0.131124
456.000014,4.528914,4.672644,4.526594,,4.546546,4.559809,4.573871,4.587048,4.677323,4.545226,4.560866,4.572653,4.582624,,0.130777,0.132097
457.000014,4.532754,4.677376,4.532006,,4.555244,4.568687,4.582823,4.596171,4.68667,4.554653,4.568873,4.581479,4.592817,,0.131426,0.132017
458.000014,4.538071,4.683076,4.537291,,4.555378,4.56749,4.583686,4.595548,4.687645,4.555042,4.569239,4.582076,4.59337,,0.132267,0.132603
459.000014,4.54111,4.686664,4.540918,,4.561934,4.575052,4.589604,4.602422,4.694888,4.561354,4.575733,4.588694,4.599882,,0.132954,0.133534
460.000014,4.546043,4.691867,4.545839,,4.564553,4.577096,4.592479,4.605954,4.697335,4.563703,4.579277,4.591034,4.602387,,0.132782,0.133632
461.000014,4.552899,4.6998,4.552828,,4.570806,4.585247,4.598702,4.614642,4.704164,4.570201,4.585818,4.597061,4.608766,,0.133358,0.133963
462.000014,4.561336,4.709627,4.561335,,4.583781,4.597202,4.611543,4.626145,4.718141,4.582943,4.599065,4.611221,4.621284,,0.13436,0.135198
463.000014,4.573213,4.722981,4.573527,,4.590659,4.604554,4.619211,4.632462,4.726701,4.590265,4.605283,4.618576,4.629341,,0.136042,0.136436
464.000014,4.584556,4.735935,4.584884,,4.60664,4.619555,4.635204,4.648722,4.743861,4.606653,4.621566,4.634269,4.646133,,0.137221,0.137208
465.000014,4.597357,4.750124,4.597421,,4.617839,4.633724,4.647076,4.662121,4.757081,4.617832,4.63511,4.646482,4.657435,,0.139242,0.139249
466.000014,4.609581,4.763802,4.609914,,4.629529,4.643843,4.658668,4.671438,4.769258,4.629448,4.644908,4.658348,4.669662,,0.139729,0.13981
467.000014,4.619678,4.775394,4.620415,,4.643272,4.656696,4.673064,4.687217,4.785135,4.643982,4.658605,4.672604,4.684944,,0.141863,0.141153
