?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm],,? 1.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],?2.dY [mm],?3.dY [mm],? 3-1.dY [mm],? 3-2.dY [mm],? 3-3.dY [mm],,deformation2-1,deformation2-3
538.500025,5.163991,5.455392,5.1802,,5.190225,5.214227,5.236502,5.258095,5.462431,5.206738,5.233043,5.256365,5.278706,,0.272206,0.255693
539.000025,5.166925,5.459705,5.18176,,5.192702,5.217123,5.239178,5.261175,5.465942,5.209361,5.235625,5.259198,5.281494,,0.27324,0.256581
539.500025,5.169791,5.464176,5.184793,,5.196023,5.220704,5.242613,5.264816,5.471035,5.212521,5.240145,5.262671,5.284942,,0.275012,0.258514
540.000025,5.172472,5.468741,5.187363,,5.199259,5.224786,5.245802,5.268446,5.47588,5.215579,5.243165,5.2664,5.288226,,0.276621,0.260301
540.500025,5.175615,5.473442,5.191934,,5.201382,5.225608,5.248393,5.27256,5.479933,5.218029,5.245208,5.268365,5.290619,,0.278551,0.261904
541.000025,5.179108,5.47891,5.195905,,5.205576,5.229462,5.252632,5.278053,5.485683,5.222589,5.250988,5.274291,5.296126,,0.280107,0.263094
541.500025,5.183062,5.484649,5.20074,,5.20972,5.232668,5.256428,5.282307,5.491564,5.226413,5.255982,5.278334,5.300469,,0.281844,0.265151
542.000025,5.186217,5.489949,5.20458,,5.213329,5.23543,5.260406,5.285885,5.496941,5.230249,5.260735,5.282974,5.304795,,0.283612,0.266692
542.500025,5.188939,5.494309,5.207461,,5.215113,5.238394,5.262098,5.287189,5.500286,5.232242,5.262477,5.284663,5.307217,,0.285173,0.268044
543.000025,5.191347,5.498329,5.210061,,5.217775,5.241258,5.265127,5.29029,5.504761,5.23555,5.265697,5.287585,5.310357,,0.286986,0.269211
543.500025,5.193918,5.502526,5.212598,,5.220111,5.243563,5.26726,5.291263,5.508904,5.238391,5.26799,5.290225,5.313302,,0.288793,0.270513
544.000025,5.197559,5.508245,5.216303,,5.222569,5.245168,5.270286,5.294278,5.513743,5.24101,5.270102,5.293262,5.316931,,0.291174,0.272733
544.500025,5.200687,5.513385,5.219214,,5.22863,5.253503,5.276682,5.299822,5.52168,5.247628,5.275046,5.299772,5.323099,,0.29305,0.274052
545.000025,5.203778,5.518374,5.222303,,5.229522,5.254699,5.278022,5.301543,5.52444,5.248707,5.276139,5.300856,5.324548,,0.294918,0.275733
545.500025,5.205653,5.521917,5.224077,,5.231901,5.257016,5.280588,5.302977,5.528947,5.250888,5.278835,5.303756,5.327236,,0.297046,0.278059
546.000025,5.209002,5.527234,5.227621,,5.234549,5.259759,5.283048,5.30606,5.532911,5.253492,5.282301,5.306345,5.329463,,0.298362,0.279419
546.500025,5.212301,5.532537,5.229692,,5.240118,5.266221,5.288595,5.312696,5.540328,5.259078,5.287748,5.312863,5.3356,,0.30021,0.28125
547.000025,5.2156,5.538181,5.233032,,5.242158,5.267507,5.29099,5.31691,5.544491,5.261486,5.291379,5.315906,5.338556,,0.302333,0.283005
547.500025,5.217872,5.543236,5.23524,,5.244931,5.269829,5.293548,5.320487,5.549312,5.263963,5.294688,5.318622,5.342067,,0.304381,0.285349
548.000025,5.220829,5.548911,5.240004,,5.24703,5.271447,5.295785,5.323717,5.554892,5.266124,5.297864,5.321148,5.344525,,0.307862,0.288768
548.500025,5.224003,5.555024,5.243281,,5.251566,5.274926,5.300415,5.326907,5.562006,5.270755,5.302136,5.325792,5.349626,,0.31044,0.291251
549.000025,5.22749,5.561818,5.2472,,5.25439,5.278745,5.302837,5.329293,5.569215,5.27358,5.305377,5.32873,5.353305,,0.314825,0.295635
549.500025,5.231439,5.57007,5.250748,,5.257868,5.280798,5.306493,5.332431,5.576629,5.276726,5.307127,5.332211,5.356804,,0.318761,0.299903
550.000025,5.235372,5.578866,5.254623,,5.2629,5.287227,5.312291,5.336613,5.586432,5.281963,5.312661,5.337124,5.362788,,0.323532,0.304469
550.500025,5.235906,5.62374,5.212339,,5.265983,5.290471,5.315764,5.339259,5.594379,5.284996,5.314793,5.340632,5.366207,,0.328396,0.309383
551.000025,5.235328,5.671039,5.169025,,5.259044,5.279786,5.303968,5.332955,5.705936,5.161742,5.194475,5.230678,5.26028,,0.446892,0.544194
551.500025,5.235014,5.721114,5.124703,,5.261349,5.281548,5.306594,5.335349,5.723039,5.162379,5.19591,5.231924,5.263113,,0.46169,0.56066
552.000025,5.232463,5.739374,5.126288,,5.265092,5.28624,5.310752,5.338872,5.738787,5.166065,5.200832,5.236178,5.266555,,0.473695,0.572722
552.500025,5.228206,5.755762,5.12603,,5.254339,5.281629,5.303733,5.33459,5.761093,5.160783,5.194655,5.231002,5.262376,,0.506754,0.60031
553.000025,5.222529,5.770482,5.125164,,5.2519,5.276013,5.301145,5.331771,5.77384,5.156756,5.190049,5.227135,5.258982,,0.52194,0.617084
553.500025,5.221885,5.782884,5.122741,,5.251234,5.276657,5.301066,5.331435,5.785254,5.155671,5.190673,5.225284,5.258134,,0.53402,0.629583
554.000025,5.222097,5.795574,5.126925,,5.252794,5.276241,5.303125,5.332373,5.798375,5.157008,5.192396,5.227351,5.259783,,0.545581,0.641367
554.500025,5.221404,5.808078,5.129909,,5.252775,5.277348,5.303058,5.333318,5.811986,5.156937,5.1912,5.228039,5.260261,,0.559211,0.655049
555.000025,5.218789,5.818585,5.128286,,5.24926,5.273602,5.299858,5.330527,5.821747,5.155494,5.190863,5.225703,5.258761,,0.572487,0.666253
555.500025,5.215346,5.828314,5.121177,,5.245029,5.269663,5.295696,5.326402,5.829551,5.152529,5.188073,5.223517,5.255723,,0.584522,0.677022
556.000025,5.211866,5.838172,5.11624,,5.242698,5.268385,5.294095,5.325667,5.840664,5.152744,5.19258,5.222919,5.255933,,0.597966,0.68792
556.500025,5.20805,5.8491,5.116194,,5.239366,5.264213,5.290551,5.320847,5.852725,5.152198,5.188487,5.222063,5.254982,,0.613359,0.700527
557.000025,5.202982,5.860723,,,5.233002,5.260523,5.285094,5.314918,5.863323,5.149095,5.185573,5.220026,5.252269,,0.630321,0.714228
557.500025,5.179526,5.886177,5.098044,,5.226367,5.252335,5.27767,5.306031,5.876175,5.144309,5.180752,5.216038,5.248173,,0.649808,0.731866
558.000025,5.155791,5.913201,5.092274,,5.167635,5.192253,5.21626,5.246077,5.9273,5.121341,5.156305,5.190448,5.224389,,0.759665,0.805959
558.500025,5.132982,5.938962,5.081995,,5.161038,5.187375,5.209897,5.237498,5.942147,5.11453,5.14888,5.183246,5.218179,,0.781109,0.827617
559.000025,5.127281,5.951479,5.077623,,5.157258,5.182487,5.205955,5.235201,5.950826,5.11088,5.146161,5.17937,5.214077,,0.793568,0.839946
559.500025,5.103125,5.995646,5.037967,,5.149633,5.176265,5.19947,5.226589,5.965237,5.108061,5.145063,5.176294,5.210234,,0.815604,0.857176
560.000025,4.01467,6.624954,3.991404,,5.088384,5.111553,5.134573,5.162891,6.073595,4.997302,5.029856,5.061478,5.091557,,0.985211,1.076293
560.500025,2.921033,7.242963,3.44987,,1.868169,1.872833,1.884235,1.90247,7.852923,1.95204,1.95761,1.984274,2.002567,,5.984754,5.900883
561.000025,1.846353,7.824629,,,1.845693,1.85725,1.862389,1.878919,7.830907,1.929296,1.942958,1.958544,1.977744,,5.985214,5.901611
561.500025,1.83586,7.820926,1.906006,,1.841304,1.849841,1.857035,1.873804,7.832153,1.924725,1.936479,1.953637,1.972942,,5.990849,5.907428
562.000025,1.832062,7.827919,1.904696,,1.837371,1.846078,1.853266,1.867464,7.840729,1.920928,1.930521,1.950153,1.969199,,6.003358,5.919801
562.500025,1.828299,7.837286,1.89978,,1.835114,1.844361,1.85046,1.86614,7.850895,1.918139,1.928586,1.947294,1.966696,,6.015781,5.932756
563.000025,1.823404,7.845301,1.894894,,1.830123,1.840225,1.845972,1.859539,7.858338,1.914288,1.92701,1.943211,1.962363,,6.028215,5.94405
563.500025,1.815831,7.849905,1.891303,,1.822601,1.833633,1.838225,1.851381,7.862919,1.90749,1.918737,1.936918,1.954833,,6.040318,5.955429
564.000025,1.806975,7.853139,,,1.812324,1.822148,1.828482,1.843618,7.863414,1.895795,1.908398,1.925154,1.943828,,6.05109,5.967619
564.500025,1.799135,7.857306,1.873301,,1.803376,1.813388,1.819657,1.836063,7.868312,1.886563,1.897335,1.915786,1.934445,,6.064936,5.981749
565.000025,1.793037,7.86332,1.867841,,1.79917,1.80813,1.814935,1.830744,7.87704,1.882228,1.895533,1.911122,1.929874,,6.07787,5.994812
565.500025,1.787021,7.868974,1.861135,,1.793789,1.803954,1.809728,1.824263,7.883302,1.876734,1.887063,1.905899,1.924658,,6.089513,6.006568
566.000025,1.779827,7.873697,1.852758,,1.785356,1.795152,1.800991,1.814501,7.885676,1.868937,1.883059,1.898692,1.916717,,6.10032,6.016739
566.500025,1.772127,7.877171,,,1.776985,1.787327,1.79299,1.807309,7.889232,1.860436,1.874151,1.89072,1.908356,,6.112247,6.028796
567.000025,1.765527,7.881678,1.834848,,1.770299,1.779807,1.7864,1.801766,7.893835,1.853365,1.865548,1.882943,1.90106,,6.123536,6.04047
567.500025,1.759876,7.88654,1.83141,,1.765294,1.775336,1.781892,1.79896,7.900241,1.848659,1.858231,1.877161,1.89605,,6.134947,6.051582
568.000025,1.754662,7.890712,1.824843,,1.76045,1.771028,1.776274,1.7941,7.904123,1.842929,1.854081,1.871432,1.890613,,6.143673,6.061194
568.500025,1.750593,7.893503,1.820146,,1.754878,1.76487,1.770994,1.785204,7.905439,1.836468,1.847017,1.865591,1.884621,,6.150561,6.068971
569.000025,1.748838,7.895227,1.817952,,1.753365,1.763949,1.769568,1.783655,7.907065,1.835609,1.846757,1.864322,1.883061,,6.1537,6.071456
569.500025,1.748645,7.896347,,,1.755321,1.763936,1.77128,1.787258,7.9092,1.837025,1.847837,1.865708,1.884737,,6.153879,6.072175
570.000025,,,,,,,,,,,,,,,,
