?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm],? 1.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],? 1-4.dY [mm],? 2.dY [mm],? 3.dY [mm]
499.000014,4.445713,4.560771,4.432450,4.460764,4.458298,4.472477,4.492587,4.479580,4.556436,4.453309
500.000014,4.452020,4.567693,4.438476,4.468726,4.463670,4.478924,4.501986,4.488300,4.564951,4.462222
501.000014,4.459522,4.575730,4.445400,4.474337,4.468991,4.487795,4.508486,4.494168,4.570942,4.466736
502.000014,4.466957,4.583852,4.452324,4.482762,4.477827,4.494241,4.516539,4.502393,4.580569,4.475145
503.000014,4.476732,4.594743,4.462126,4.490612,4.488896,4.502642,4.523913,4.509996,4.589746,4.481603
504.000014,4.486688,4.606398,4.472544,4.503922,4.500553,4.513735,4.536752,4.523588,4.603606,4.495746
505.000014,4.499363,4.620552,4.485157,4.514456,4.510273,4.522594,4.549208,4.534512,4.615529,4.515124
506.000014,4.510275,4.633030,4.495948,4.529178,4.523115,4.538622,4.563436,4.549008,4.631471,4.521084
507.000014,4.522750,4.647021,4.508566,4.537550,4.533179,4.551346,4.572128,4.557335,4.640944,4.527737
508.000014,4.531970,4.657901,4.518197,4.552459,4.547780,4.564344,4.588542,4.573179,4.657833,4.545413
509.000014,4.542393,4.669511,4.528320,4.558082,4.554987,4.570843,4.593962,4.579113,4.664181,4.551051
510.000014,4.549946,4.678282,4.535420,4.569267,4.564286,4.583553,4.605650,4.589703,4.676694,4.560251
511.000014,4.557792,4.687297,4.543333,4.574712,4.570484,4.584480,4.610424,4.595156,4.683404,4.565516
512.000014,4.563889,4.694257,4.549580,4.581599,4.575712,4.590731,4.617693,4.602095,4.690735,4.571831
513.000014,4.569647,4.700809,4.555612,4.587141,4.582373,4.598867,4.623797,4.608168,4.696925,4.577576
514.000014,4.575471,4.707268,4.560881,4.592539,4.589378,4.600768,4.630599,4.613929,4.703436,4.584044
