?? [s],?1.dY [mm],?2.dY [mm],?3.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],? 1-4.dY [mm]
660.000014,6.211558,6.427598,6.198309,6.208174,6.20448,6.219057,6.229084
661.000014,6.217329,6.437728,6.20395,6.214349,6.210669,6.225104,6.235276
662.000014,6.231835,6.457445,6.217512,6.229123,6.225084,6.239748,6.249914
663.000014,6.241474,6.471509,6.225071,6.238063,6.233789,6.249111,6.25859
664.000014,6.249869,6.485667,6.233509,6.246938,6.242793,6.258077,6.26797
665.000014,6.257403,6.497083,6.239494,6.253843,6.250146,6.264664,6.27505
666.000014,6.263094,6.506975,6.244282,6.259453,6.255775,6.270633,6.280896
667.000014,6.26881,6.516693,6.249589,6.265712,6.261787,6.276601,6.28682
668.000014,6.272314,6.523203,6.251858,6.269477,6.265775,6.280256,6.290461
669.000014,6.27383,6.52706,6.252748,6.270818,6.266874,6.281516,6.291651
670.000014,6.277496,6.532498,6.255435,6.274428,6.269891,6.284789,6.294769
671.000014,6.284067,6.541795,6.261856,6.28069,6.276554,6.291565,6.301574
672.000014,6.288923,6.549518,6.265558,6.285693,6.281556,6.296365,6.306664
673.000014,,6.566571,6.275742,,,6.307488,
674.000014,,6.585752,6.284445,,,6.318848,
675.000014,,6.606815,6.293076,,,6.330551,
676.000014,,6.638781,6.28096,,,6.332071,
677.000014,,,,,,,
678.000014,1.747152,10.255695,1.792746,1.745292,1.74529,,1.746165
679.000014,1.729305,10.255515,1.771036,1.727704,1.727278,,1.728804
680.000014,1.726234,10.240939,1.766852,1.72482,1.724098,,1.725349
681.000014,1.729554,10.214258,1.771527,1.727929,1.726765,,1.728704
682.000014,1.727765,10.188485,1.768934,1.726412,1.725345,,1.726885
683.000014,1.726253,10.17664,1.767036,1.724545,1.723758,,1.725377
684.000014,1.728665,10.173311,1.769402,1.726019,1.72568,,1.727511
685.000014,1.728241,10.170874,1.768812,1.72652,1.725853,,1.727435
686.000014,1.733069,10.183926,1.773631,1.731638,1.730765,,1.73243
687.000014,,,,,,,
688.000014,,,,,,,
