?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
659.000026,6.093284,6.176680,6.067155
659.500026,6.101518,6.185017,6.075184
660.000026,6.109542,6.193387,6.083107
660.500026,6.117094,6.201524,6.090797
661.000026,6.123832,6.208851,6.097697
661.500026,6.129654,6.215046,6.103619
662.000026,6.135192,6.220933,6.109151
662.500026,6.140920,6.226936,6.114802
663.000026,6.145419,6.231861,6.119168
663.500026,6.149020,6.235723,6.122724
664.000026,6.151769,6.238785,6.125571
664.500026,6.155332,6.242629,6.129246
665.000026,6.159143,6.246716,6.133191
665.500026,6.162724,6.250556,6.136820
666.000026,6.166221,6.254246,6.140432
666.500026,6.169502,6.257729,6.143644
667.000026,6.172235,6.260631,6.146443
667.500026,6.173543,6.262015,6.147667
668.000026,6.174081,6.262572,6.148297
668.500026,6.174630,6.263307,6.148841
669.000026,6.176300,6.265102,6.150426
669.500026,6.178252,6.267204,6.152186
670.000026,6.179914,6.268891,6.153712
670.500026,6.180845,6.269916,6.154676
671.000026,6.181915,6.271176,6.155841
671.500026,6.183907,6.273235,6.157759
672.000026,6.186312,6.275759,6.160092
672.500026,6.188009,6.277506,6.161705
673.000026,6.188679,6.278200,6.162458
673.500026,6.190064,6.279900,6.163977
674.000026,6.193358,6.283494,6.167482
674.500026,6.198207,6.288813,6.172442
675.000026,6.203207,6.294020,6.177549
675.500026,6.207995,6.299221,6.182470
676.000026,6.212953,6.304486,6.187447
676.500026,6.218815,6.310660,6.193217
677.000026,6.225211,6.317241,6.199432
677.500026,6.231443,6.323816,6.205683
678.000026,6.237358,6.330208,6.211668
678.500026,6.244204,6.337549,6.218640
679.000026,6.251810,6.345753,6.226396
679.500026,6.259460,6.353929,6.233998
680.000026,6.265998,6.360921,6.240475
680.500026,6.271366,6.366668,6.245705
681.000026,6.276155,6.371975,6.250742
681.500026,6.280794,6.377091,6.255494
682.000026,6.285712,6.382387,6.260595
682.500026,6.290429,6.387427,6.265303
683.000026,6.294696,6.392131,6.269633
683.500026,6.298546,6.396302,6.273418
684.000026,6.301710,6.399724,6.276575
684.500026,6.304009,6.402124,6.278878
685.000026,6.305759,6.403902,6.280636
685.500026,6.307132,6.405394,6.281951
686.000026,6.309104,6.407545,6.283824
686.500026,6.311858,6.410738,6.286699
687.000026,6.314724,6.413904,6.289634
687.500026,6.317301,6.416858,6.292400
688.000026,6.319566,6.419362,6.294616
688.500026,6.323271,6.423516,6.298543
689.000026,6.328135,6.428694,6.303378
689.500026,6.333479,6.434504,6.308863
690.000026,6.338261,6.439430,6.313395
690.500026,6.342934,6.444524,6.318101
691.000026,6.348664,6.450615,6.323799
691.500026,6.355465,6.458087,6.330843
692.000026,6.361821,6.465079,6.337452
692.500026,6.366987,6.470784,6.342890
693.000026,6.370789,6.475059,6.346799
693.500026,6.374915,6.479328,6.350794
694.000026,6.379140,6.483811,6.354796
694.500026,6.383017,6.487832,6.358521
695.000026,6.386691,6.491912,6.362116
695.500026,6.390081,6.495607,6.365453
696.000026,6.393442,6.499403,6.368875
696.500026,6.396501,6.502846,6.372034
697.000026,6.399513,6.506405,6.375341
697.500026,6.402814,6.510193,6.378894
698.000026,6.406156,6.513819,6.382352
698.500026,6.409578,6.517547,6.385825
699.000026,6.412894,6.521036,6.389142
699.500026,6.416211,6.524593,6.392499
700.000026,6.419613,6.528182,6.395740
700.500026,6.424477,6.533233,6.400248
701.000026,6.430323,6.539681,6.406064
701.500026,6.437091,6.547330,6.413329
702.000026,6.443561,6.554762,6.420316
702.500026,6.449575,6.561499,6.426681
703.000026,6.454799,6.567028,6.431617
703.500026,6.459186,6.571758,6.435944
704.000026,6.463290,6.576223,6.439886
704.500026,6.467769,6.581226,6.444443
705.000026,6.471877,6.585899,6.448614
705.500026,6.474963,6.589412,6.451740
706.000026,6.477157,6.591970,6.453922
706.500026,6.479451,6.594571,6.456231
707.000026,6.482380,6.598009,6.459495
707.500026,6.484955,6.600926,6.462325
708.000026,6.487081,6.603401,6.464586
708.500026,6.489178,6.605764,6.466706
709.000026,6.492361,6.609223,6.469828
709.500026,6.496748,6.614030,6.474297
710.000026,6.502353,6.619949,6.479616
710.500026,6.508157,6.626359,6.485472
711.000026,6.514035,6.632787,6.491331
711.500026,6.519875,6.639490,6.497543
712.000026,6.526513,6.646877,6.504502
712.500026,6.533133,6.654374,6.511386
713.000026,6.539077,6.661054,6.517393
713.500026,6.544192,6.667034,6.522370
714.000026,6.549055,6.672514,6.527157
714.500026,6.553719,6.677902,6.532012
715.000026,6.558634,6.683447,6.537429
715.500026,6.563243,6.688709,6.542323
716.000026,6.567461,6.693504,6.546744
716.500026,6.570913,6.697498,6.550194
717.000026,6.574079,6.701251,6.553487
717.500026,6.576981,6.704676,6.556337
718.000026,6.579222,6.707293,6.558476
718.500026,6.581261,6.709672,6.560478
719.000026,6.583228,6.711879,6.562348
719.500026,6.585355,6.714309,6.564493
720.000026,6.587529,6.716748,6.566581
720.500026,6.589665,6.719213,6.568746
721.000026,6.591882,6.721732,6.570917
721.500026,6.594170,6.724421,6.573359
722.000026,6.597744,6.728584,6.577200
722.500026,6.602730,6.734315,6.582641
723.000026,6.608818,6.741254,6.589038
723.500026,6.615207,6.748469,6.595610
724.000026,6.621244,6.755375,6.601657
724.500026,6.627103,6.762023,6.607545
725.000026,6.633432,6.769118,6.614038
725.500026,6.639783,6.776685,6.620966
726.000026,6.646300,6.784418,6.628031
726.500026,6.651068,6.790579,6.633209
727.000026,6.654646,6.795075,6.636848
727.500026,6.657845,6.799026,6.639934
728.000026,6.661383,6.803146,6.643479
728.500026,6.665745,6.808277,6.647857
729.000026,6.670100,6.813473,6.652458
729.500026,6.673734,6.817865,6.656217
730.000026,6.676072,6.820785,6.658680
730.500026,6.677472,6.822792,6.660296
731.000026,6.678934,6.824961,6.662018
731.500026,6.680795,6.827360,6.664131
732.000026,6.682768,6.829912,6.666332
732.500026,6.684946,6.832735,6.668713
733.000026,6.687441,6.835937,6.671485
733.500026,6.690157,6.839399,6.674415
734.000026,6.694173,6.844017,6.678539
734.500026,6.699698,6.850361,6.684018
735.000026,6.706760,6.858443,6.691267
735.500026,6.713694,6.866798,6.698685
736.000026,6.719734,6.874423,6.705335
736.500026,6.725367,6.881945,6.711668
737.000026,6.731654,6.890166,6.718345
737.500026,6.738444,6.898923,6.725537
738.000026,6.744758,6.906993,6.732114
738.500026,6.749762,6.913694,6.737522
739.000026,6.753765,6.919502,6.742125
739.500026,6.757552,6.925049,6.746392
740.000026,6.761372,6.930599,6.751007
740.500026,6.764873,6.935655,6.755096
741.000026,6.767911,6.940126,6.758610
741.500026,6.770350,6.943787,6.761344
742.000026,6.772494,6.947223,6.763818
742.500026,6.774799,6.950629,6.766390
743.000026,6.776989,6.953911,6.768770
743.500026,6.779213,6.956973,6.771146
744.000026,6.780910,6.959651,6.773173
744.500026,6.783205,6.962847,6.775657
745.000026,6.785583,6.966142,6.778274
