?? [s],a.dY [mm],b.dY [mm],c.dY [mm]
616.500026,6.148872,6.351928,6.150485
617.000026,6.154838,6.359738,6.156294
617.500026,6.160173,6.367435,6.161899
618.000026,6.164840,6.374702,6.167060
618.500026,6.168884,6.381341,6.171563
619.000026,6.172394,6.387238,6.175410
619.500026,6.175737,6.392886,6.179073
620.000026,6.179056,6.398239,6.182555
620.500026,6.182490,6.403548,6.185955
621.000026,6.185181,6.407802,6.188457
621.500026,6.187467,6.411672,6.190647
622.000026,6.189686,6.415253,6.192707
622.500026,6.192080,6.418990,6.195107
623.000026,6.193732,6.421725,6.196732
623.500026,6.194224,6.423361,6.197259
624.000026,6.194844,6.424964,6.197794
624.500026,6.197065,6.428382,6.200052
625.000026,6.200175,6.432727,6.203274
625.500026,6.203858,6.437799,6.207169
626.000026,6.207046,6.442663,6.210664
626.500026,6.211349,6.448926,6.215400
627.000026,6.216944,6.456750,6.221293
627.500026,6.223623,6.465685,6.228050
628.000026,6.230489,6.474797,6.234687
628.500026,6.236999,6.483975,6.241240
629.000026,6.243076,6.493218,6.247634
629.500026,6.248585,6.502498,6.253743
630.000026,6.253062,6.510917,6.258802
630.500026,6.257308,6.518987,6.263412
631.000026,6.260962,6.526206,6.267332
631.500026,6.264510,6.533071,6.270953
632.000026,6.267349,6.539148,6.273953
632.500026,6.270351,6.545016,6.276929
633.000026,6.272856,6.550145,6.279372
633.500026,6.274968,6.554617,6.281365
634.000026,6.276594,6.558693,6.283045
634.500026,6.278547,6.563001,6.285093
635.000026,6.281228,6.568078,6.287960
635.500026,6.283217,6.572399,6.290171
636.000026,6.283877,6.575258,6.290997
636.500026,6.283401,6.576701,6.290566
637.000026,6.282927,6.577907,6.290086
637.500026,6.283310,6.579819,6.290574
638.000026,6.284272,6.582256,6.291725
638.500026,6.285527,6.584904,6.293072
639.000026,6.286480,6.587327,6.294068
639.500026,6.287178,6.589483,6.294825
640.000026,6.288337,6.592236,6.296147
640.500026,6.290321,6.596088,6.298485
641.000026,6.292761,6.600630,6.301202
641.500026,6.295783,6.606293,6.304653
642.000026,6.298932,6.612953,6.308241
642.500026,6.302051,6.620959,6.312099
643.000026,6.304720,6.630109,6.315790
643.500026,6.307923,6.641078,6.320247
644.000026,6.311181,6.653813,6.325015
644.500026,6.312262,6.667760,6.328746
645.000026,4.972289,7.473728,4.985413
645.500026,3.625549,8.271611,3.639728
646.000026,2.279079,9.056567,2.292342
646.500026,2.274038,9.041914,2.291613
647.000026,2.271786,9.025098,2.288924
647.500026,2.263948,9.010255,2.281175
648.000026,2.248737,8.996768,2.266391
648.500026,2.234729,8.992104,2.252654
649.000026,2.225942,8.997592,2.243882
649.500026,2.220725,9.008886,2.238648
650.000026,2.214347,9.019360,2.232240
650.500026,2.206743,9.025882,2.224578
651.000026,2.200199,9.027956,2.218020
651.500026,2.197380,9.028268,2.215108
652.000026,2.196955,9.028277,2.214696
