?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
619.000026,5.909973,6.188485,5.819084
619.500026,5.913797,6.196006,5.819756
620.000026,5.916782,6.202619,5.819712
620.500026,5.918776,6.208278,5.818388
621.000026,5.919715,6.213100,5.816025
621.500026,5.920962,6.217889,5.813787
622.000026,5.922539,6.222847,5.812241
622.500026,5.924301,6.227847,5.811348
623.000026,5.925787,6.232620,5.810299
623.500026,5.926847,6.237063,5.809035
624.000026,5.927516,6.242429,5.807794
624.500026,5.928618,6.249945,5.807005
625.000026,5.931410,6.261042,5.806096
625.500026,5.925885,6.281906,5.801143
626.000026,4.541376,7.276282,4.429100
626.500026,3.144371,8.269648,3.037191
627.000026,1.751149,9.254653,1.647162
627.500026,1.734149,9.263008,1.622230
628.000026,1.726638,9.267357,1.616342
628.500026,1.723777,9.268414,1.612936
629.000026,1.722080,9.269467,1.610816
629.500026,1.720225,9.271588,1.608957
630.000026,1.716612,9.272573,1.605254
630.500026,1.712250,9.271179,1.600897
631.000026,1.709318,9.268692,1.597539
631.500026,1.707814,9.266556,1.595811
632.000026,1.707888,9.266719,1.596048
632.500026,1.708367,9.266723,1.596752
633.000026,1.708900,9.266273,1.597408
633.500026,1.708810,9.264450,1.597386
634.000026,1.707862,9.262247,1.596500
634.500026,1.707228,9.261411,1.595793
635.000026,1.707026,9.261256,1.595273
