?? [s],a 1.dY [mm],B1.dY [mm],C1.dY [mm]
679.500026,6.431304,6.760347,6.422816
680.000026,6.434760,6.766365,6.425987
680.500026,6.437677,6.771555,6.428549
681.000026,6.440467,6.776585,6.431134
681.500026,6.442498,6.780618,6.432867
682.000026,6.444348,6.784327,6.434435
682.500026,6.445658,6.787461,6.435544
683.000026,6.447418,6.790809,6.437003
683.500026,6.449424,6.794410,6.438757
684.000026,6.451788,6.798275,6.440785
684.500026,6.453785,6.801790,6.442601
685.000026,6.455719,6.805273,6.444395
685.500026,6.458432,6.809563,6.446949
686.000026,6.462937,6.816035,6.451307
686.500026,6.467837,6.823124,6.455917
687.000026,6.472513,6.830192,6.460230
687.500026,6.477096,6.837281,6.464360
688.000026,6.482207,6.844937,6.469007
688.500026,6.487784,6.853105,6.474089
689.000026,6.492881,6.860844,6.478710
689.500026,6.497871,6.868680,6.483191
690.000026,6.501692,6.875636,6.486513
690.500026,6.504779,6.881861,6.489001
691.000026,6.507221,6.887307,6.490863
691.500026,6.509983,6.892869,6.492828
692.000026,6.512897,6.898357,6.494916
692.500026,6.515157,6.903147,6.496211
693.000026,6.517344,6.907933,6.497558
693.500026,6.519277,6.912570,6.498514
694.000026,6.521992,6.918099,6.500122
694.500026,6.524160,6.923037,6.501023
695.000026,6.526001,6.927824,6.501648
695.500026,6.527879,6.932579,6.502141
696.000026,6.529848,6.937571,6.502544
696.500026,6.533406,6.944220,6.504248
697.000026,6.536684,6.950813,6.505496
697.500026,6.539577,6.957156,6.506011
698.000026,6.541382,6.962591,6.504994
698.500026,6.543482,6.968685,6.503545
699.000026,6.546429,6.976295,6.501610
699.500026,6.549828,6.986253,6.495348
700.000026,5.018965,7.982645,4.980413
700.500026,3.462026,8.956316,3.435966
701.000026,1.909093,9.933756,1.902404
701.500026,1.890745,9.926767,1.879433
702.000026,1.894413,9.940747,1.884080
702.500026,1.887825,9.946600,1.877697
703.000026,1.876167,9.948053,1.866272
703.500026,1.864450,9.949350,1.854822
704.000026,1.856423,9.952521,1.847023
704.500026,1.851085,9.955482,1.841720
705.000026,1.848154,9.955255,1.838972
705.500026,1.846289,9.950692,1.837108
706.000026,1.845345,9.947156,1.836236
