?? [s],A 1.dY [mm],A 2.dY [mm],B2.dY [mm],B 1.dY [mm],C2.dY [mm],C 1.dY [mm]
611.500026,5.758691,5.752786,5.540093,5.559286,5.498654,5.516256
612.000026,5.762615,5.756713,5.542991,5.562309,5.501167,5.518774
612.500026,5.767287,5.761519,5.546808,5.566125,5.504524,5.522110
613.000026,5.771692,5.766006,5.550263,5.569484,5.507593,5.525290
613.500026,5.775255,5.769506,5.552868,5.572129,5.509888,5.527610
614.000026,5.778462,5.772640,5.555071,5.574303,5.511818,5.529587
614.500026,5.781956,5.776069,5.557766,5.576920,5.514173,5.531911
615.000026,5.787086,5.781258,5.561922,5.580806,5.517941,5.535652
615.500026,5.793440,5.787549,5.567140,5.586244,5.522673,5.540316
616.000026,5.800668,5.794782,5.573077,5.592407,5.527955,5.545597
616.500026,5.807668,5.801843,5.578520,5.598035,5.532644,5.550403
617.000026,5.814796,5.809023,5.583955,5.603347,5.537159,5.554989
617.500026,5.821845,5.816001,5.589145,5.608240,5.541357,5.559158
618.000026,5.829473,5.823558,5.594974,5.614109,5.546023,5.563739
618.500026,5.837117,5.831283,5.600639,5.619869,5.550685,5.568295
619.000026,5.845202,5.839484,5.606546,5.626000,5.555579,5.573077
619.500026,5.856212,5.850362,5.612837,5.632913,5.553844,5.571356
620.000026,5.866246,5.860183,5.618514,5.638359,5.550421,5.567811
620.500026,5.875744,5.869435,5.623578,5.643508,5.546119,5.563525
621.000026,5.882245,5.875867,5.627757,5.647493,5.548299,5.565497
621.500026,5.889123,5.882800,5.631723,5.652011,5.551255,5.568465
622.000026,5.895462,5.889185,5.635326,5.655937,5.554012,5.571253
622.500026,5.899992,5.893837,5.637644,5.658263,5.555129,5.572375
623.000026,5.903209,5.897228,5.639678,5.659732,5.555444,5.572617
623.500026,5.905738,5.899801,5.641010,5.660484,5.555162,5.572253
624.000026,5.908469,5.902512,5.642741,5.661752,5.555414,5.572507
624.500026,5.911212,5.905015,5.644189,5.663126,5.555911,5.572925
625.000026,5.914187,5.907933,5.645729,5.664899,5.556690,5.573644
625.500026,5.917389,5.911154,5.647460,5.666665,5.557563,5.574536
626.000026,5.921557,5.915393,5.649986,5.669393,5.559108,5.576153
626.500026,5.926287,5.920212,5.653333,5.672741,5.561010,5.578154
627.000026,5.932130,5.926000,5.656936,5.676947,5.563254,5.580474
627.500026,5.939652,5.933446,5.662049,5.682376,5.566043,5.583481
628.000026,5.950259,5.943930,5.669023,5.689393,5.569548,5.586869
628.500026,5.963603,5.957301,5.677442,5.697157,5.572737,5.589927
629.000026,5.978027,5.971843,5.684857,5.704896,5.574886,5.591771
629.500026,5.991379,5.985317,5.690658,5.711282,5.575428,5.592273
630.000026,6.003636,5.997718,5.695830,5.716852,5.575190,5.591779
630.500026,6.015063,6.009067,5.700561,5.720988,5.573828,5.590442
631.000026,6.027025,6.021034,5.705978,5.726038,5.572917,5.589315
631.500026,6.038904,6.032831,5.711086,5.731307,5.572024,5.588287
632.000026,6.049834,6.043968,5.715264,5.735596,5.570064,5.585852
632.500026,6.059066,6.053326,5.717336,5.738051,5.566161,5.581641
633.000026,6.067388,6.061571,5.718932,5.739287,5.561040,5.576275
