?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
676.000026,6.276430,6.412786,6.259645
676.500026,6.278995,6.415868,6.262121
677.000026,6.282560,6.419936,6.265464
677.500026,6.286072,6.423722,6.268619
678.000026,6.288210,6.426226,6.270553
678.500026,6.288537,6.427000,6.270980
679.000026,6.288517,6.427293,6.270966
679.500026,6.289310,6.428322,6.271679
680.000026,6.292111,6.430915,6.273973
680.500026,6.295167,6.434347,6.276868
681.000026,6.298555,6.438010,6.280063
681.500026,6.301458,6.441518,6.282984
682.000026,6.304910,6.445321,6.286146
682.500026,6.309828,6.450931,6.290912
683.000026,6.316421,6.458561,6.297450
683.500026,6.324969,6.468077,6.305734
684.000026,6.333953,6.478113,6.314285
684.500026,6.342886,6.487895,6.322437
685.000026,6.350189,6.496329,6.329135
685.500026,6.356810,6.503828,6.334808
686.000026,6.362249,6.510762,6.339951
686.500026,6.368155,6.517869,6.345399
687.000026,6.373793,6.524732,6.350777
687.500026,6.379497,6.531252,6.355747
688.000026,6.384788,6.537201,6.360195
688.500026,6.388379,6.541775,6.363384
689.000026,6.391101,6.545236,6.365787
689.500026,6.393387,6.548539,6.368186
690.000026,6.396600,6.552544,6.371235
690.500026,6.400061,6.556921,6.374676
691.000026,6.403178,6.560819,6.377583
691.500026,6.405555,6.563919,6.379779
692.000026,6.407395,6.566309,6.381296
692.500026,6.409584,6.568561,6.382920
693.000026,6.411017,6.570376,6.384065
693.500026,6.411942,6.571554,6.384725
694.000026,6.411904,6.572088,6.384819
694.500026,6.413025,6.573461,6.385796
695.000026,6.415019,6.575934,6.387687
695.500026,6.417490,6.578883,6.389818
696.000026,6.419756,6.581497,6.391829
696.500026,6.422549,6.584588,6.394313
697.000026,6.425914,6.588546,6.397585
697.500026,6.430199,6.593510,6.401462
698.000026,6.435508,6.599929,6.406555
698.500026,6.442822,6.608367,6.413301
699.000026,6.451316,6.618197,6.421173
699.500026,6.459645,6.627837,6.428523
700.000026,6.466851,6.636568,6.434785
700.500026,6.473716,6.645228,6.440755
701.000026,6.480372,6.653778,6.446498
701.500026,6.486400,6.661852,6.451764
702.000026,6.491920,6.669152,6.456428
702.500026,6.496862,6.675670,6.460468
703.000026,6.501807,6.681880,6.464547
703.500026,6.505976,6.687411,6.467935
704.000026,6.509777,6.692430,6.471090
704.500026,6.513306,6.697102,6.473930
705.000026,6.516570,6.701319,6.476712
705.500026,6.519156,6.704861,6.479036
706.000026,6.521184,6.707911,6.480861
706.500026,6.523134,6.710778,6.482428
707.000026,6.524938,6.713577,6.483842
707.500026,6.526934,6.716428,6.485492
708.000026,6.529091,6.719521,6.487417
708.500026,6.531864,6.723190,6.489805
709.000026,6.534695,6.726780,6.492024
709.500026,6.537425,6.730217,6.494144
710.000026,6.539976,6.733480,6.496193
710.500026,6.542066,6.736322,6.497987
711.000026,6.544640,6.739754,6.500232
711.500026,6.548378,6.744545,6.503578
712.000026,6.554077,6.751535,6.508681
