?? [s],A.dY [mm],A.dY [mm],B.dY [mm],B.dY [mm],C.dY [mm],C.dY [mm],E.dY [mm]
850.304806,4.626292,4.626292,4.793911,4.793911,4.650398,4.650398,4.800144
850.804806,4.626814,4.626814,4.795255,4.795255,4.651389,4.651389,4.801549
851.304806,4.629286,4.629286,4.798016,4.798016,4.653595,4.653595,4.804669
851.804806,4.630816,4.630816,4.800416,4.800416,4.655443,4.655443,4.806431
852.304806,4.633216,4.633216,4.802853,4.802853,4.657679,4.657679,4.809885
852.804806,4.634234,4.634234,4.804739,4.804739,4.658622,4.658622,4.811506
853.304806,4.633278,4.633278,4.804796,4.804796,4.658383,4.658383,4.811669
853.804806,4.635606,4.635606,4.807797,4.807797,4.660833,4.660833,4.815042
854.304806,4.637828,4.637828,4.810379,4.810379,4.662476,4.662476,4.817570
854.804806,4.639596,4.639596,4.811705,4.811705,4.663816,4.663816,4.819528
855.304806,4.640465,4.640465,4.814051,4.814051,4.665302,4.665302,4.821380
855.804806,4.641316,4.641316,4.815181,4.815181,4.666108,4.666108,4.822526
856.304806,4.642253,4.642253,4.817061,4.817061,4.667600,4.667600,4.825111
856.804806,4.641939,4.641939,4.817249,4.817249,4.667434,4.667434,4.825389
857.304806,4.644503,4.644503,4.820388,4.820388,4.669818,4.669818,4.827635
857.804806,4.646030,4.646030,4.822508,4.822508,4.671421,4.671421,4.829838
858.304806,4.649539,4.649539,4.826729,4.826729,4.674966,4.674966,4.833840
858.804806,4.649817,4.649817,4.827250,4.827250,4.675438,4.675438,4.834410
859.304806,4.650033,4.650033,4.828547,4.828547,4.675947,4.675947,4.835160
859.804806,4.651440,4.651440,4.830627,4.830627,4.677033,4.677033,4.837689
860.304806,4.653675,4.653675,4.833663,4.833663,4.679210,4.679210,4.840277
860.804806,4.655483,4.655483,4.836381,4.836381,4.681153,4.681153,4.842922
861.304806,4.657508,4.657508,4.839145,4.839145,4.683616,4.683616,4.845453
861.804806,4.658491,4.658491,4.840639,4.840639,4.684112,4.684112,4.847295
862.304806,4.658041,4.658041,4.841039,4.841039,4.684109,4.684109,4.847646
862.804806,4.658292,4.658292,4.841854,4.841854,4.684398,4.684398,4.848596
863.304806,4.661348,4.661348,4.845330,4.845330,4.687414,4.687414,4.852506
863.804806,4.663541,4.663541,4.847975,4.847975,4.689547,4.689547,4.855296
864.304806,4.665540,4.665540,4.850930,4.850930,4.692218,4.692218,4.857974
864.804806,4.673293,4.673293,4.857958,4.857958,4.699715,4.699715,4.864865
865.304806,4.688768,4.688768,4.871030,4.871030,4.714105,4.714105,4.877565
865.804806,4.689788,4.689788,4.872812,4.872812,4.715239,4.715239,4.879445
866.304806,4.692169,4.692169,4.876122,4.876122,4.717991,4.717991,4.883275
866.804806,4.693639,4.693639,4.878308,4.878308,4.719647,4.719647,4.885309
867.304806,4.696162,4.696162,4.881994,4.881994,4.722078,4.722078,4.888355
867.804806,4.697758,4.697758,4.883484,4.883484,4.723500,4.723500,4.889905
868.304806,4.698623,4.698623,4.884300,4.884300,4.724560,4.724560,4.890941
868.804806,4.698761,4.698761,4.886447,4.886447,4.725301,4.725301,4.893189
869.304806,4.700532,4.700532,4.888485,4.888485,4.726726,4.726726,4.895063
869.804806,4.702179,4.702179,4.891079,4.891079,4.728689,4.728689,4.898003
870.304806,4.704704,4.704704,4.894071,4.894071,4.730905,4.730905,4.900734
870.804806,4.706194,4.706194,4.896244,4.896244,4.732804,4.732804,4.902940
871.304806,4.706645,4.706645,4.897281,4.897281,4.733340,4.733340,4.904002
871.804806,4.707819,4.707819,4.898915,4.898915,4.734466,4.734466,4.906049
872.304806,4.708826,4.708826,4.900734,4.900734,4.735762,4.735762,4.907976
872.804806,4.711138,4.711138,4.904175,4.904175,4.738214,4.738214,4.911567
873.304806,4.711669,4.711669,4.905423,4.905423,4.738844,4.738844,4.913038
873.804806,4.712259,4.712259,4.906250,4.906250,4.739342,4.739342,4.913551
874.304806,4.710970,4.710970,4.906358,4.906358,4.738598,4.738598,4.914100
874.804806,4.712377,4.712377,4.908027,4.908027,4.739689,4.739689,4.915387
875.304806,4.714017,4.714017,4.910788,4.910788,4.741675,4.741675,4.918164
875.804806,4.717944,4.717944,4.914771,4.914771,4.745089,4.745089,4.922466
876.304806,4.719182,4.719182,4.916774,4.916774,4.746548,4.746548,4.924322
876.804806,4.721465,4.721465,4.919875,4.919875,4.749093,4.749093,4.927129
877.304806,4.722166,4.722166,4.920723,4.920723,4.749481,4.749481,4.927672
877.804806,4.720326,4.720326,4.920719,4.920719,4.748762,4.748762,4.927915
878.304806,4.719482,4.719482,4.920798,4.920798,4.748181,4.748181,4.928986
878.804806,4.722822,4.722822,4.923791,4.923791,4.749851,4.749851,4.932238
879.304806,4.728025,4.728025,4.929643,4.929643,4.755246,4.755246,4.936387
879.804806,4.729261,4.729261,4.931633,4.931633,4.756926,4.756926,4.939222
880.304806,4.731738,4.731738,4.935173,4.935173,4.758394,4.758394,4.942952
880.804806,4.731843,4.731843,4.935052,4.935052,4.758831,4.758831,4.943080
881.304806,4.730224,4.730224,4.935536,4.935536,4.758710,4.758710,4.943899
881.804806,4.734166,4.734166,4.939657,4.939657,4.761779,4.761779,4.946945
882.304806,4.734168,4.734168,4.940615,4.940615,4.761905,4.761905,4.947755
882.804806,4.736057,4.736057,4.943449,4.943449,4.763811,4.763811,4.951349
883.304806,4.738224,4.738224,4.946302,4.946302,4.766280,4.766280,4.954112
883.804806,4.739327,4.739327,4.948248,4.948248,4.767348,4.767348,4.955964
884.304806,4.740051,4.740051,4.949167,4.949167,4.767768,4.767768,4.957210
884.804806,4.740603,4.740603,4.950618,4.950618,4.768945,4.768945,4.958713
885.304806,4.743869,4.743869,4.954552,4.954552,4.771987,4.771987,4.962015
885.804806,4.765402,4.765402,4.973256,4.973256,4.792675,4.792675,4.980983
886.304806,4.767368,4.767368,4.976035,4.976035,4.794905,4.794905,4.983788
886.804806,4.769837,4.769837,4.979383,4.979383,4.797816,4.797816,4.987326
887.304806,4.772433,4.772433,4.982363,4.982363,4.800302,4.800302,4.990668
887.804806,4.772786,4.772786,4.983660,4.983660,4.800914,4.800914,4.992012
888.304806,4.774395,4.774395,4.985566,4.985566,4.802398,4.802398,4.993587
888.804806,4.775461,4.775461,4.987380,4.987380,4.803642,4.803642,4.995383
889.304806,4.778081,4.778081,4.990186,4.990186,4.806208,4.806208,4.998164
889.804806,4.779339,4.779339,4.992194,4.992194,4.807614,4.807614,5.000666
890.304806,4.780617,4.780617,4.994567,4.994567,4.809235,4.809235,5.003147
890.804806,4.782727,4.782727,4.997453,4.997453,4.811188,4.811188,5.005594
891.304806,4.781621,4.781621,4.996693,4.996693,4.810155,4.810155,5.004847
891.804806,4.780937,4.780937,4.996896,4.996896,4.809821,4.809821,5.005696
892.304806,4.784029,4.784029,5.000506,5.000506,4.812379,4.812379,5.009549
892.804806,4.787115,4.787115,5.004741,5.004741,4.815890,4.815890,5.013984
893.304806,4.789558,4.789558,5.007936,5.007936,4.818187,4.818187,5.017095
893.804806,4.790799,4.790799,5.010369,5.010369,4.819836,4.819836,5.018966
894.304806,4.789489,4.789489,5.009939,5.009939,4.818160,4.818160,5.018606
894.804806,4.789691,4.789691,5.011210,5.011210,4.819080,4.819080,5.020234
895.304806,4.787694,4.787694,5.010429,5.010429,4.817648,4.817648,5.020087
895.804806,4.788758,4.788758,5.012017,5.012017,4.818296,4.818296,5.021092
896.304806,4.792815,4.792815,5.017596,5.017596,4.822405,4.822405,5.025880
896.804806,4.795860,4.795860,5.022099,5.022099,4.825416,4.825416,5.030547
897.304806,4.797881,4.797881,5.024517,5.024517,4.827036,4.827036,5.033048
897.804806,4.797238,4.797238,5.024861,5.024861,4.826778,4.826778,5.032924
898.304806,4.795904,4.795904,5.025238,5.025238,4.826008,4.826008,5.033373
898.804806,4.796362,4.796362,5.026186,5.026186,4.826066,4.826066,5.034583
899.304806,4.797461,4.797461,5.028419,5.028419,4.826948,4.826948,5.036973
899.804806,4.799637,4.799637,5.031630,5.031630,4.829775,4.829775,5.040205
900.304806,4.803742,4.803742,5.036436,5.036436,4.833800,4.833800,5.045101
900.804806,4.804575,4.804575,5.037929,5.037929,4.834544,4.834544,5.046045
901.304806,4.804037,4.804037,5.037497,5.037497,4.833444,4.833444,5.045472
901.804806,4.802560,4.802560,5.040572,5.040572,4.833274,4.833274,5.050738
902.304806,4.803141,4.803141,5.039500,5.039500,4.832196,4.832196,5.047731
902.804806,4.802717,4.802717,5.041283,5.041283,4.833025,4.833025,5.050039
903.304806,4.806978,4.806978,5.047857,5.047857,4.837572,4.837572,5.056848
903.804806,4.825787,4.825787,5.066741,5.066741,4.855697,4.855697,5.074874
904.304806,4.832096,4.832096,5.073567,5.073567,4.861687,4.861687,5.081995
904.804806,4.833800,4.833800,5.077218,5.077218,4.863665,4.863665,5.084968
905.304806,4.834619,4.834619,5.081260,5.081260,4.865034,4.865034,5.089299
905.804806,4.836171,4.836171,5.085203,5.085203,4.866170,4.866170,5.093861
906.304806,4.836306,4.836306,5.088804,5.088804,4.867230,4.867230,5.097447
906.804806,4.837631,4.837631,5.092391,5.092391,4.868809,4.868809,5.101638
907.304806,4.841111,4.841111,5.098556,5.098556,4.872419,4.872419,5.107976
907.804806,4.841446,4.841446,5.101280,5.101280,4.873172,4.873172,5.110774
908.304806,4.845036,4.845036,5.106740,5.106740,4.876850,4.876850,5.114582
908.804806,4.845555,4.845555,5.109980,5.109980,4.877387,4.877387,5.118957
909.304806,4.844945,4.844945,5.112641,5.112641,4.876375,4.876375,5.121658
909.804806,4.843948,4.843948,5.114554,5.114554,4.875657,4.875657,5.123286
910.304806,4.843714,4.843714,5.117140,5.117140,4.875440,4.875440,5.126570
910.804806,4.844360,4.844360,5.119112,5.119112,4.875818,4.875818,5.128319
911.304806,4.845319,4.845319,5.122146,5.122146,4.877666,4.877666,5.130502
911.804806,4.845903,4.845903,5.124010,5.124010,4.878469,4.878469,5.132859
912.304806,4.846118,4.846118,5.124869,5.124869,4.878467,4.878467,5.134577
912.804806,4.845472,4.845472,5.125661,5.125661,4.878060,4.878060,5.134803
913.304806,4.846971,4.846971,5.128525,5.128525,4.879185,4.879185,5.137902
913.804806,4.847231,4.847231,5.129986,5.129986,4.879176,4.879176,5.139616
914.304806,4.848744,4.848744,5.132662,5.132662,4.880475,4.880475,5.141906
914.804806,4.849018,4.849018,5.135293,5.135293,4.881608,4.881608,5.143953
915.304806,4.852139,4.852139,5.139306,5.139306,4.884734,4.884734,5.149133
915.804806,4.851477,4.851477,5.140383,5.140383,4.884177,4.884177,5.150044
916.304806,4.850731,4.850731,5.141752,5.141752,4.884262,4.884262,5.150662
916.804806,4.851985,4.851985,5.144072,5.144072,4.884777,4.884777,5.154448
917.304806,4.854634,4.854634,5.148885,5.148885,4.887900,4.887900,5.157835
917.804806,4.856330,4.856330,5.151259,5.151259,4.888944,4.888944,5.161467
918.304806,4.854898,4.854898,5.152069,5.152069,4.887604,4.887604,5.162161
918.804806,4.853002,4.853002,5.151613,5.151613,4.886214,4.886214,5.161248
919.304806,4.851445,4.851445,5.149399,5.149399,4.883726,4.883726,5.158924
919.804806,4.848615,4.848615,5.146623,5.146623,4.881115,4.881115,5.157022
920.304806,4.846338,4.846338,5.145087,5.145087,4.879907,4.879907,5.154922
920.804806,4.847366,4.847366,5.144184,5.144184,4.879552,4.879552,5.154153
921.304806,4.844352,4.844352,5.141616,5.141616,4.877074,4.877074,5.152501
921.804806,4.845227,4.845227,5.142349,5.142349,4.877651,4.877651,5.152744
922.304806,4.846497,4.846497,5.143124,5.143124,4.878681,4.878681,5.153205
922.804806,4.845631,4.845631,5.142467,5.142467,4.877788,4.877788,5.152758
923.304806,4.845860,4.845860,5.143240,5.143240,4.878147,4.878147,5.152919
923.804806,4.846462,4.846462,5.143928,5.143928,4.878878,4.878878,5.153640
924.304806,4.847221,4.847221,5.145247,5.145247,4.879921,4.879921,5.155040
924.804806,4.849901,4.849901,5.148306,5.148306,4.882155,4.882155,5.157916
925.304806,4.852596,4.852596,5.151363,5.151363,4.885092,4.885092,5.160893
925.804806,4.855672,4.855672,5.155623,5.155623,4.888227,4.888227,5.164957
926.304806,4.858032,4.858032,5.160590,5.160590,4.891137,4.891137,5.169490
926.804806,4.861396,4.861396,5.166514,5.166514,4.894147,4.894147,5.175860
927.304806,4.864376,4.864376,5.173703,5.173703,4.897499,4.897499,5.182990
927.804806,4.864624,4.864624,5.181949,5.181949,4.898575,4.898575,5.191840
928.304806,4.866599,4.866599,5.191240,5.191240,4.900461,4.900461,5.200585
928.804806,4.868097,4.868097,5.201140,5.201140,4.902363,4.902363,5.212669
929.304806,4.870622,4.870622,5.213246,5.213246,4.905327,4.905327,5.222614
929.804806,4.872996,4.872996,5.224632,5.224632,4.907915,4.907915,5.234220
930.304806,4.873369,4.873369,5.232362,5.232362,4.907969,4.907969,5.242572
930.804806,4.874815,4.874815,5.239842,5.239842,4.909665,4.909665,5.250556
931.304806,4.876355,4.876355,5.247339,5.247339,4.911072,4.911072,5.257643
931.804806,4.879159,4.879159,5.255888,5.255888,4.913794,4.913794,5.266332
932.304806,4.879029,4.879029,5.262902,5.262902,4.913957,4.913957,5.273580
932.804806,4.879020,4.879020,5.271409,5.271409,4.914274,4.914274,5.282567
933.304806,4.880994,4.880994,5.277435,5.277435,4.916314,4.916314,5.287666
933.804806,4.881976,4.881976,5.281699,5.281699,4.916645,4.916645,5.293335
934.304806,4.883420,4.883420,5.287280,5.287280,4.918560,4.918560,5.297005
934.804806,4.881285,4.881285,5.289479,5.289479,4.916838,4.916838,5.301676
935.304806,4.881933,4.881933,5.293466,5.293466,4.917185,4.917185,5.303826
935.804806,4.883407,4.883407,5.299107,5.299107,4.918795,4.918795,5.309940
936.304806,4.882701,4.882701,5.302655,5.302655,4.918225,4.918225,5.313849
936.804806,4.884175,4.884175,5.307741,5.307741,4.919266,4.919266,5.319120
