?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm]
843.356382,4.472722,4.505111,4.477479,4.509556
843.856382,4.475690,4.508043,4.479990,4.513288
844.356382,4.478293,4.511086,4.482725,4.515735
844.856382,4.480342,4.513157,4.485130,4.518340
845.356382,4.482410,4.515455,4.487130,4.520476
845.856382,4.484206,4.517469,4.488911,4.522131
846.356382,4.485453,4.518855,4.490279,4.523716
846.856382,4.487770,4.521118,4.492760,4.526284
847.356382,4.489553,4.523105,4.494515,4.528215
847.856382,4.492664,4.526265,4.497273,4.530947
848.356382,4.495482,4.528990,4.499968,4.533805
848.856382,4.496355,4.529992,4.500937,4.534958
849.356382,4.498602,4.532284,4.503104,4.537132
849.856382,4.500132,4.533911,4.504858,4.539090
850.356382,4.501949,4.535569,4.506414,4.540686
850.856382,4.504615,4.538427,4.509222,4.543872
851.356382,4.506873,4.540625,4.511180,4.546008
851.856382,4.507773,4.541548,4.511754,4.546671
852.356382,4.508680,4.542587,4.512977,4.547822
852.856382,4.509813,4.543711,4.514029,4.549006
853.356382,4.509289,4.543289,4.513655,4.548585
853.856382,4.510313,4.544134,4.514383,4.550185
854.356382,4.511832,4.546183,4.516262,4.551401
854.856382,4.515878,4.550198,4.520039,4.555685
855.356382,4.537055,4.571259,4.541736,4.575936
855.856382,4.537936,4.572156,4.542488,4.576681
856.356382,4.540319,4.574689,4.545120,4.579450
856.856382,4.541229,4.575866,4.546154,4.580662
857.356382,4.541344,4.575541,4.546081,4.580798
857.856382,4.541764,4.576182,4.546473,4.581232
858.356382,4.543472,4.577611,4.547961,4.582753
858.856382,4.544819,4.578979,4.549159,4.583950
859.356382,4.545680,4.580033,4.550172,4.585029
859.856382,4.546341,4.580390,4.550565,4.585584
860.356382,4.547520,4.581647,4.552051,4.587029
860.856382,4.547513,4.581992,4.552269,4.587092
861.356382,4.549010,4.583515,4.553538,4.588574
861.856382,4.550215,4.584287,4.554472,4.589653
862.356382,4.551772,4.586201,4.556116,4.591374
862.856382,4.554234,4.588904,4.558479,4.594127
863.356382,4.556053,4.590715,4.560150,4.596085
863.856382,4.556034,4.590710,4.560132,4.595944
864.356382,4.557931,4.592840,4.561726,4.598188
864.856382,4.560557,4.595694,4.564453,4.600809
865.356382,4.562571,4.598178,4.566649,4.603290
865.856382,4.565476,4.601189,4.569450,4.606853
866.356382,4.569552,4.605638,4.573929,4.611549
866.856382,4.572866,4.609311,4.577375,4.615067
867.356382,4.577014,4.613440,4.581585,4.619631
867.856382,4.579385,4.616098,4.583953,4.622250
868.356382,4.583417,4.620186,4.588160,4.626400
868.856382,4.585911,4.622715,4.590283,4.628748
869.356382,4.589354,4.626329,4.593607,4.632129
869.856382,4.592084,4.628954,4.596106,4.634547
870.356382,4.594571,4.631361,4.598519,4.637578
870.856382,4.616945,4.653656,4.620816,4.659351
871.356382,4.619849,4.656557,4.624365,4.662743
871.856382,4.621516,4.658668,4.626197,4.664797
872.356382,4.624232,4.661404,4.628467,4.667506
872.856382,4.626170,4.663617,4.630726,4.669471
873.356382,4.628529,4.665797,4.632785,4.671791
873.856382,4.630361,4.668028,4.634689,4.673896
874.356382,4.630649,4.668235,4.634758,4.674020
874.856382,4.632019,4.669776,4.636568,4.675540
875.356382,4.635017,4.672517,4.638902,4.678510
875.856382,4.635773,4.673565,4.639896,4.679504
876.356382,4.637947,4.675509,4.642045,4.681585
876.856382,4.637591,4.675611,4.641974,4.681691
877.356382,4.638231,4.676096,4.642473,4.682164
877.856382,4.639439,4.677614,4.643924,4.683517
878.356382,4.640614,4.678541,4.644588,4.684763
878.856382,4.641564,4.679297,4.645565,4.685556
879.356382,4.641606,4.679704,4.645690,4.685605
879.856382,4.641733,4.679768,4.645845,4.685745
880.356382,4.640860,4.678698,4.644970,4.684912
880.856382,4.640473,4.678332,4.644361,4.684400
881.356382,4.642010,4.679661,4.645734,4.685898
881.856382,4.643822,4.681627,4.647674,4.687957
882.356382,4.644580,4.682246,4.648457,4.688627
882.856382,4.646077,4.684036,4.649785,4.690411
883.356382,4.646445,4.684428,4.649989,4.690776
883.856382,4.648300,4.686781,4.651929,4.692697
884.356382,4.650166,4.688528,4.653764,4.694951
884.856382,4.650743,4.689375,4.654456,4.695566
885.356382,4.652076,4.691013,4.655883,4.697195
885.856382,4.653865,4.692330,4.657534,4.699036
886.356382,4.652987,4.691666,4.656654,4.698013
886.856382,4.653877,4.692616,4.657587,4.699257
887.356382,4.653841,4.692620,4.657753,4.698867
887.856382,4.653570,4.692402,4.657181,4.698437
888.356382,4.653795,4.692621,4.657783,4.699274
888.856382,4.654208,4.693007,4.658081,4.699323
889.356382,4.653697,4.692543,4.657406,4.698624
889.856382,4.655830,4.694672,4.659554,4.700881
890.356382,4.655762,4.694442,4.659352,4.701004
890.856382,4.656352,4.694582,4.659747,4.702018
891.356382,4.657131,4.696025,4.660531,4.702893
891.856382,4.660783,4.700159,4.664699,4.706735
892.356382,4.666713,4.706359,4.670479,4.713140
892.856382,4.670674,4.710539,4.674841,4.717588
893.356382,4.673470,4.713268,4.677289,4.720172
893.856382,4.676461,4.716816,4.680569,4.723705
894.356382,4.679746,4.720151,4.683625,4.726836
894.856382,4.696307,4.735974,4.700029,4.743202
895.356382,4.701456,4.741238,4.704591,4.748300
895.856382,4.705200,4.745458,4.709106,4.753045
896.356382,4.708428,4.748834,4.712489,4.756426
896.856382,4.711916,4.752790,4.716081,4.760189
897.356382,4.712991,4.753928,4.716683,4.761411
897.856382,4.713226,4.754441,4.717271,4.761739
898.356382,4.714467,4.755797,4.718457,4.763430
898.856382,4.717340,4.758652,4.720976,4.766049
899.356382,4.720129,4.761899,4.724129,4.769779
899.856382,4.722425,4.764219,4.726549,4.771764
900.356382,4.723144,4.765055,4.727100,4.772852
900.856382,4.724869,4.766678,4.728216,4.774208
901.356382,4.726243,4.768210,4.730010,4.776040
901.856382,4.729601,4.771940,4.733514,4.779329
902.356382,4.731140,4.773138,4.734998,4.781306
902.856382,4.731034,4.773031,4.734791,4.780807
903.356382,4.731657,4.773725,4.735474,4.781495
903.856382,4.732249,4.774189,4.735948,4.782030
904.356382,4.733807,4.775817,4.737470,4.783753
904.856382,4.735708,4.777671,4.739219,4.785547
905.356382,4.760009,4.801677,4.764195,4.808771
905.856382,4.763038,4.804684,4.766736,4.811856
906.356382,4.765594,4.807468,4.769440,4.814635
906.856382,4.769277,4.811236,4.773233,4.818676
907.356382,4.770657,4.812969,4.774815,4.820619
907.856382,4.772504,4.814980,4.776345,4.822234
908.356382,4.772443,4.814922,4.776177,4.822173
908.856382,4.774738,4.817373,4.778561,4.824709
909.356382,4.776645,4.819221,4.780504,4.826877
909.856382,4.777468,4.819713,4.781437,4.827833
910.356382,4.778745,4.821250,4.782589,4.829145
910.856382,4.778461,4.820830,4.781959,4.828877
911.356382,4.779637,4.822470,4.783560,4.830438
911.856382,4.781607,4.824481,4.785131,4.831848
912.356382,4.782245,4.824883,4.785404,4.833212
912.856382,4.785039,4.827967,4.788486,4.836202
913.356382,4.786837,4.829701,4.790092,4.837464
913.856382,4.787361,4.830558,4.790835,4.838462
914.356382,4.789568,4.832859,4.792804,4.840655
914.856382,4.789670,4.833033,4.793043,4.840850
915.356382,4.789157,4.832674,4.792397,4.840159
915.856382,4.790205,4.833587,4.793355,4.841357
916.356382,4.791583,4.835148,4.794813,4.842912
916.856382,4.791637,4.834962,4.795098,4.843459
917.356382,4.792605,4.835761,4.795613,4.844110
917.856382,4.790740,4.834147,4.793929,4.842258
918.356382,4.789119,4.832362,4.792225,4.840401
918.856382,4.790501,4.833715,4.793386,4.841932
919.356382,4.792889,4.836235,4.796024,4.843952
919.856382,4.793982,4.837479,4.797550,4.845383
920.356382,4.794533,4.837946,4.797714,4.845952
920.856382,4.792666,4.836369,4.795866,4.844366
921.356382,4.793518,4.836981,4.796545,4.845230
921.856382,4.794543,4.838237,4.797791,4.846378
922.356382,4.798028,4.841777,4.801115,4.849995
922.856382,4.800197,4.844228,4.803805,4.852616
923.356382,4.800749,4.844847,4.804115,4.853055
923.856382,4.801353,4.845834,4.804712,4.853772
924.356382,4.802092,4.846235,4.805431,4.854857
924.856382,4.806165,4.850495,4.809213,4.858759
925.356382,4.809042,4.853652,4.812234,4.862062
925.856382,4.811698,4.856649,4.815203,4.864882
926.356382,4.814355,4.859630,4.817793,4.868263
926.856382,4.818815,4.864386,4.822218,4.873562
927.356382,4.824124,4.869968,4.827352,4.878814
927.856382,4.828220,4.874429,4.831520,4.882982
928.356382,4.856516,4.901801,4.860136,4.909529
928.856382,4.860399,4.906111,4.864295,4.913946
929.356382,4.863094,4.909070,4.866610,4.917170
929.856382,4.866362,4.912300,4.869735,4.921376
930.356382,4.868750,4.914744,4.872023,4.923696
930.856382,4.871806,4.918187,4.875281,4.927163
931.356382,4.874500,4.921102,4.877572,4.930146
931.856382,4.877580,4.924195,4.880480,4.933207
932.356382,4.878378,4.925357,4.881547,4.933941
932.856382,4.879393,4.926582,4.882845,4.935442
933.356382,4.881103,4.927941,4.884072,4.937032
933.856382,4.881198,4.927995,4.883987,4.937030
934.356382,4.882336,4.929230,4.885207,4.938357
934.856382,4.883443,4.930487,4.886026,4.939785
935.356382,4.884463,4.931634,4.887167,4.940895
935.856382,4.886688,4.933904,4.889392,4.942991
936.356382,4.888796,4.936004,4.891455,4.945353
936.856382,4.890061,4.937424,4.892631,4.946141
937.356382,4.890868,4.938086,4.893399,4.947539
937.856382,4.891566,4.939112,4.894440,4.948377
938.356382,4.891744,4.939284,4.894615,4.948682
938.856382,4.893512,4.941051,4.896035,4.950884
939.356382,4.892679,4.940086,4.895376,4.949666
939.856382,4.891249,4.938702,4.893549,4.947988
940.356382,4.891862,4.939413,4.894362,4.948978
940.856382,4.892334,4.939797,4.894726,4.948759
941.356382,4.893543,4.941318,4.896370,4.950363
941.856382,4.896441,4.943852,4.898845,4.953420
942.356382,4.894434,4.942167,4.897168,4.951435
942.856382,4.893674,4.941579,4.896610,4.950756
943.356382,4.894610,4.942596,4.897419,4.951936
943.856382,4.896051,4.944309,4.899028,4.953622
944.356382,4.898718,4.946864,4.901634,4.955971
944.856382,4.900113,4.948348,4.903177,4.957816
945.356382,4.901644,4.950093,4.904512,4.959489
945.856382,4.901218,4.949504,4.904131,4.959227
946.356382,4.901126,4.949692,4.904059,4.959237
946.856382,4.901493,4.950205,4.904312,4.959570
947.356382,4.902297,4.950968,4.905323,4.960506
947.856382,4.904496,4.953316,4.907551,4.962212
948.356382,4.905657,4.954205,4.908476,4.963723
948.856382,4.904774,4.953015,4.907200,4.962920
949.356382,4.903095,4.951807,4.906014,4.960747
949.856382,4.903274,4.951918,4.905757,4.961008
950.356382,4.904325,4.953268,4.906969,4.962872
950.856382,4.907988,4.957240,4.910977,4.966461
951.356382,4.910915,4.960299,4.913816,4.969797
951.856382,4.912486,4.962093,4.915519,4.971693
952.356382,4.917453,4.967044,4.920505,4.976674
952.856382,4.919112,4.969512,4.922259,4.979432
953.356382,4.923343,4.973388,4.925953,4.983208
953.856382,4.927907,4.978039,4.930734,4.987965
954.356382,4.956294,5.006508,4.959590,5.015127
954.856382,4.960207,5.010017,4.963043,5.019270
955.356382,4.962454,5.012585,4.965314,5.022235
955.856382,4.965527,5.015831,4.968355,5.025344
956.356382,4.967564,5.017893,4.970639,5.027374
956.856382,4.970544,5.021164,4.973324,5.030362
957.356382,4.973503,5.024343,4.975932,5.034024
957.856382,4.976429,5.026862,4.978424,5.036338
958.356382,4.978791,5.029338,4.981156,5.039301
958.856382,4.980458,5.031055,4.982969,5.041567
959.356382,4.980615,5.031491,4.982399,5.041723
959.856382,4.980590,5.031608,4.982928,5.041787
960.356382,4.980827,5.032171,4.983218,5.041795
960.856382,4.982507,5.033601,4.985054,5.043759
961.356382,4.983523,5.034256,4.985453,5.044465
961.856382,4.984109,5.034944,4.986209,5.044889
962.356382,4.984547,5.035674,4.986907,5.046026
962.856382,4.986634,5.038089,4.988920,5.047881
963.356382,4.987981,5.039319,4.990365,5.049667
963.856382,4.988973,5.040466,4.991221,5.050814
964.356382,4.990115,5.041712,4.992544,5.052095
964.856382,4.991948,5.043460,4.994055,5.053502
965.356382,4.992123,5.044121,4.994301,5.054274
965.856382,4.994278,5.046174,4.996333,5.056127
966.356382,4.996061,5.048399,4.998204,5.058647
966.856382,4.998036,5.050625,5.000572,5.060921
967.356382,4.999444,5.052399,5.002070,5.063095
967.856382,5.000765,5.053517,5.003042,5.063895
968.356382,5.000795,5.053935,5.003632,5.064574
968.856382,5.002767,5.055853,5.005379,5.066996
969.356382,5.005875,5.059252,5.008431,5.070027
969.856382,5.006896,5.060530,5.009527,5.071346
970.356382,5.008309,5.061969,5.010707,5.072701
970.856382,5.010253,5.064181,5.012703,5.074807
971.356382,5.012316,5.066748,5.015220,5.077234
971.856382,5.013804,5.067416,5.016062,5.078781
972.356382,5.014646,5.068960,5.017408,5.079951
972.856382,5.016460,5.070544,5.018889,5.081225
973.356382,5.019048,5.073089,5.021260,5.083901
973.856382,5.020174,5.074403,5.022528,5.085304
974.356382,5.023194,5.077340,5.025247,5.088107
974.856382,5.024934,5.079184,5.027102,5.090425
975.356382,5.024697,5.078858,5.026949,5.090530
975.856382,5.027031,5.081385,5.029046,5.092807
976.356382,5.028762,5.083127,5.030594,5.094092
976.856382,5.031168,5.085931,5.033315,5.096975
977.356382,5.032523,5.087282,5.034727,5.098309
977.856382,5.033938,5.088409,5.036097,5.099856
978.356382,5.036340,5.091895,5.038976,5.102942
978.856382,5.038114,5.093785,5.040383,5.104591
979.356382,5.040382,5.096201,5.042835,5.106911
979.856382,5.041956,5.097669,5.043958,5.108891
980.356382,5.043814,5.099583,5.045809,5.110793
980.856382,5.043642,5.099901,5.046116,5.111980
981.356382,5.072482,5.126129,5.074013,5.137465
981.856382,5.075131,5.128813,5.076453,5.139927
982.356382,5.078181,5.132014,5.079484,5.143141
982.856382,5.080857,5.134932,5.082237,5.145659
983.356382,5.083256,5.137927,5.084866,5.148630
983.856382,5.085254,5.140094,5.086980,5.150980
984.356382,5.086001,5.140883,5.087664,5.152184
984.856382,5.087052,5.141863,5.088831,5.153056
985.356382,5.086440,5.141386,5.088120,5.152964
985.856382,5.088087,5.142808,5.089405,5.153458
986.356382,5.087456,5.142458,5.089222,5.153869
986.856382,5.088031,5.142777,5.088887,5.153603
987.356382,5.087989,5.143080,5.089767,5.154308
987.856382,5.089854,5.145037,5.091523,5.156351
988.356382,5.091275,5.146580,5.092680,5.157612
988.856382,5.092416,5.147800,5.093812,5.159085
989.356382,5.094063,5.149639,5.095411,5.161197
989.856382,5.095351,5.151329,5.096790,5.162763
990.356382,5.098730,5.154963,5.100008,5.166367
990.856382,5.101450,5.157573,5.102361,5.169506
991.356382,5.104588,5.161005,5.105638,5.172726
991.856382,5.108439,5.164974,5.109381,5.176791
992.356382,5.111188,5.167808,5.112498,5.179355
992.856382,5.115777,5.172486,5.116628,5.184669
993.356382,5.120266,5.177727,5.121417,5.190024
993.856382,5.124961,5.182837,5.126102,5.194683
994.356382,5.128626,5.187222,5.130062,5.199826
994.856382,5.132294,5.191826,5.134286,5.204243
995.356382,5.135088,5.194623,5.136707,5.207408
995.856382,5.137863,5.197621,5.139405,5.210442
996.356382,5.141021,5.201403,5.142426,5.214954
996.856382,5.144030,5.204418,5.146058,5.217853
997.356382,5.147445,5.208135,5.149179,5.221595
997.856382,5.150918,5.211438,5.152502,5.225299
998.356382,5.152779,5.213619,5.154506,5.227319
998.856382,5.154609,5.215510,5.156215,5.229754
999.356382,5.157189,5.218214,5.158656,5.232118
999.856382,5.159525,5.220403,5.160409,5.234729
1000.356382,5.161330,5.222557,5.162546,5.236586
1000.856382,5.161489,5.222822,5.162426,5.237132
1001.356382,5.162498,5.223867,5.163551,5.238306
1001.856382,5.165472,5.227034,5.166230,5.241380
1002.356382,5.189801,5.250686,5.190189,5.264915
1002.856382,5.193210,5.254011,5.193635,5.268601
1003.356382,5.196057,5.256971,5.196670,5.271529
1003.856382,5.197460,5.258356,5.197861,5.272634
1004.356382,5.195962,5.256740,5.196076,5.271037
1004.856382,5.196662,5.257685,5.197244,5.272221
1005.356382,5.197641,5.258735,5.198110,5.273070
1005.856382,5.199096,5.260054,5.199471,5.275291
1006.356382,5.200703,5.261815,5.201026,5.276434
1006.856382,5.201836,5.262790,5.201811,5.277834
1007.356382,5.203042,5.264375,5.203210,5.278728
1007.856382,5.204205,5.265336,5.204146,5.280034
1008.356382,5.204742,5.266150,5.204956,5.281177
1008.856382,5.205757,5.267215,5.205617,5.281603
1009.356382,5.206489,5.268147,5.206376,5.282723
1009.856382,5.208639,5.270197,5.208305,5.284393
1010.356382,5.210765,5.272886,5.210680,5.288063
1010.856382,5.213267,5.275289,5.213368,5.290095
1011.356382,5.213965,5.276216,5.213890,5.291042
1011.856382,5.214641,5.277501,5.215360,5.293316
1012.356382,5.214815,5.277500,5.215112,5.292768
1012.856382,5.216436,5.279505,5.216857,5.294630
1013.356382,5.217131,5.280135,5.217356,5.295469
1013.856382,5.218780,5.282072,5.219833,5.296695
1014.356382,5.218599,5.282230,5.219839,5.297244
1014.856382,5.219428,5.283088,5.220819,5.298901
1015.356382,5.221752,5.285613,5.223159,5.301754
1015.856382,5.223808,5.287918,5.225422,5.304142
1016.356382,5.226806,5.291068,5.228637,5.307842
1016.856382,,6.822538,,6.832632
1017.356382,2.607123,6.863930,2.542966,6.869317
1017.856382,2.605783,6.873895,2.540387,6.879026
1018.356382,2.604742,6.880925,2.538930,6.886329
1018.856382,2.600279,6.889997,2.534108,6.895010
1019.356382,2.588407,6.895653,2.521520,6.901053
1019.856382,2.545155,6.907054,2.478532,6.911936
1020.356382,2.540799,6.914186,2.474008,6.919431
1020.856382,2.541024,6.929213,2.474227,6.933962
