?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
1194.530838,6.067027,6.133746,6.066957,6.160967,6.198199
1195.030838,6.064586,6.131648,6.064533,6.159032,6.195591
1195.530838,6.061224,6.128033,6.061036,6.154706,6.192048
1196.030838,6.057808,6.125365,6.058352,6.152181,6.189329
1196.530838,6.057640,6.125272,6.057851,6.152207,6.189131
1197.030838,6.059266,6.126561,6.059540,6.153604,6.190553
1197.530838,6.062764,6.129950,6.062758,6.156726,6.193282
1198.030838,6.066239,6.133899,6.066547,6.161102,6.197749
1198.530838,6.071350,6.138889,6.071744,6.166981,6.203378
1199.030838,6.073634,6.141688,6.073593,6.169722,6.205983
1199.530838,6.075161,6.143576,6.075520,6.171900,6.207816
1200.030838,6.075300,6.143963,6.075360,6.171535,6.207957
1200.530838,6.074857,6.143996,6.075527,6.171210,6.207737
1201.030838,6.074138,6.142062,6.074014,6.170096,6.206949
1201.530838,6.074069,6.142460,6.074128,6.169905,6.207191
1202.030838,6.074912,6.143209,6.075021,6.171580,6.209140
1202.530838,6.077304,6.145713,6.076986,6.173826,6.210956
1203.030838,6.079721,6.149110,6.080046,6.177615,6.214012
1203.530838,6.083986,6.153847,6.084498,6.181996,6.218304
1204.030838,6.085614,6.155930,6.086714,6.184078,6.220605
1204.530838,6.088200,6.159457,6.089216,6.187044,6.223706
1205.030838,6.091328,6.161929,6.091969,6.188879,6.226785
1205.530838,6.091830,6.162432,6.092578,6.190147,6.227057
1206.030838,6.092226,6.162753,6.092769,6.190984,6.227925
1206.530838,6.090980,6.162108,6.091631,6.189669,6.227126
1207.030838,6.091396,6.161880,6.092011,6.190264,6.227569
1207.530838,6.090863,6.162277,6.092000,6.190780,6.227873
1208.030838,6.092212,6.163322,6.093054,6.191375,6.228640
1208.530838,6.095173,6.166829,6.095925,6.193768,6.231252
1209.030838,6.098681,6.169447,6.098462,6.196800,6.235026
1209.530838,6.103163,6.174574,6.102899,6.201735,6.239570
1210.030838,6.105148,6.176761,6.105552,6.203508,6.241778
1210.530838,6.109112,6.180418,6.109149,6.207795,6.245290
1211.030838,6.111703,6.183390,6.112015,6.211456,6.248423
1211.530838,6.112233,6.183447,6.112530,6.211921,6.249739
1212.030838,6.113243,6.183865,6.113042,6.213163,6.250730
1212.530838,6.115762,6.187477,6.115903,6.215341,6.253696
1213.030838,6.118101,6.190079,6.118484,6.218462,6.256877
1213.530838,6.119847,6.192085,6.119985,6.221132,6.258171
1214.030838,6.122458,6.194948,6.122785,6.222959,6.260892
1214.530838,6.125663,6.197687,6.126006,6.226731,6.264187
1215.030838,6.126898,6.200374,6.127783,6.229012,6.266753
1215.530838,6.130239,6.203730,6.130772,6.232610,6.270365
1216.030838,6.133308,6.206600,6.133924,6.235697,6.273296
1216.530838,6.135643,6.209951,6.136492,6.238165,6.276377
1217.030838,6.138783,6.213061,6.138858,6.240685,6.279786
1217.530838,6.141537,6.216077,6.142092,6.244845,6.283094
1218.030838,6.143559,6.217694,6.143713,6.245610,6.284942
1218.530838,6.170327,6.243234,6.169886,6.271921,6.308616
1219.030838,6.172305,6.245502,6.171485,6.273482,6.310505
1219.530838,6.171915,6.245483,6.172129,6.273587,6.310423
1220.030838,6.171047,6.243479,6.170757,6.272390,6.309394
1220.530838,6.169336,6.242255,6.169268,6.271516,6.308493
1221.030838,6.172810,6.246079,6.172100,6.274302,6.311775
1221.530838,6.175859,6.249664,6.175818,6.277930,6.315304
1222.030838,6.181445,6.254946,6.181398,6.283606,6.321341
1222.530838,6.185858,6.260322,6.186243,6.287734,6.326457
1223.030838,6.190277,6.264560,6.190300,6.293047,6.331113
1223.530838,6.193269,6.267576,6.193463,6.295603,6.334369
1224.030838,6.194126,6.267707,6.193561,6.295882,6.334742
1224.530838,6.193229,6.267797,6.193229,6.296070,6.334271
1225.030838,6.194760,6.267929,6.194323,6.297196,6.335774
1225.530838,6.194996,6.269531,6.195293,6.297822,6.336494
1226.030838,6.194798,6.269414,6.194550,6.297244,6.336669
1226.530838,6.195223,6.269333,6.195235,6.298220,6.336430
1227.030838,6.196562,6.270691,6.196622,6.299160,6.337693
1227.530838,6.197075,6.271148,6.197168,6.299330,6.338555
1228.030838,6.196977,6.271405,6.196382,6.299354,6.337594
1228.530838,6.196455,6.270127,6.196524,6.299426,6.338084
1229.030838,6.197386,6.270501,6.196791,6.300326,6.338531
1229.530838,6.197874,6.272379,6.197935,6.301262,6.340369
1230.030838,6.201337,6.275949,6.200799,6.304834,6.343362
1230.530838,6.204652,6.278788,6.204564,6.308389,6.346659
1231.030838,6.206644,6.281522,6.206512,6.310310,6.348822
1231.530838,6.210658,6.286616,6.210443,6.315496,6.353583
1232.030838,6.214284,6.289855,6.214724,6.319481,6.357777
1232.530838,6.217154,6.293010,6.216798,6.322479,6.361115
1233.030838,6.218474,6.294739,6.217872,6.323701,6.361931
1233.530838,6.221417,6.297988,6.221911,6.327088,6.365978
1234.030838,6.222271,6.299366,6.222527,6.328018,6.367447
1234.530838,6.224664,6.302039,6.225110,6.331570,6.370137
1235.030838,6.227970,6.305555,6.228190,6.334522,6.374488
1235.530838,6.231163,6.309236,6.231916,6.338443,6.378686
1236.030838,6.234932,6.313544,6.235979,6.342851,6.382642
1236.530838,6.240271,6.319142,6.240870,6.347883,6.387470
1237.030838,6.242854,6.321421,6.243307,6.351827,6.391027
1237.530838,6.244626,6.322650,6.244332,6.353091,6.393002
1238.030838,6.247059,6.324916,6.246254,6.355569,6.395188
1238.530838,6.249610,6.327736,6.249426,6.358034,6.398359
1239.030838,6.249700,6.327429,6.249222,6.358393,6.397848
1239.530838,6.250435,6.328597,6.249942,6.359722,6.399430
1240.030838,6.251393,6.329922,6.251464,6.361221,6.400616
1240.530838,6.251561,6.330869,6.251781,6.361639,6.401741
1241.030838,6.253853,6.333660,6.253838,6.363623,6.402968
1241.530838,6.255558,6.334756,6.255065,6.365077,6.405052
1242.030838,6.255912,6.334872,6.255657,6.365748,6.405792
1242.530838,6.256685,6.336906,6.256995,6.366947,6.406604
1243.030838,6.259036,6.338902,6.258882,6.369356,6.409477
1243.530838,6.259956,6.339508,6.259688,6.370614,6.410186
1244.030838,6.259214,6.339496,6.259373,6.370386,6.410398
1244.530838,6.260004,6.340019,6.259953,6.370060,6.410237
1245.030838,6.258975,6.339314,6.259319,6.369734,6.409845
1245.530838,6.258733,6.337781,6.258320,6.368965,6.408569
1246.030838,6.258995,6.339315,6.259434,6.369960,6.409403
1246.530838,6.258560,6.338653,6.258459,6.369201,6.409017
1247.030838,6.257671,6.338081,6.257347,6.368238,6.408522
1247.530838,6.258192,6.339556,6.258432,6.369485,6.409121
1248.030838,6.260020,6.340144,6.259945,6.370682,6.410020
1248.530838,6.261143,6.341629,6.261159,6.372169,6.412359
1249.030838,6.264549,6.345383,6.264575,6.375749,6.415650
1249.530838,6.267658,6.349625,6.268170,6.378998,6.419727
1250.030838,6.270635,6.352029,6.271038,6.381385,6.422063
1250.530838,6.273265,6.355192,6.273711,6.385036,6.425845
1251.030838,6.277796,6.359630,6.278358,6.389492,6.430426
1251.530838,6.279982,6.361894,6.280503,6.392816,6.433435
1252.030838,6.284571,6.366326,6.284702,6.396797,6.437676
1252.530838,6.290938,6.373468,6.290845,6.404152,6.445051
1253.030838,6.322978,6.406868,6.322749,6.435083,6.475736
1253.530838,6.332862,6.414235,6.331858,6.445067,6.486086
1254.030838,6.341550,6.423146,6.340547,6.454517,6.495430
1254.530838,6.347273,6.430003,6.347391,6.460953,6.501717
1255.030838,6.350564,6.433222,6.349960,6.464776,6.505958
1255.530838,6.353075,6.436922,6.353121,6.467730,6.508454
1256.030838,6.351757,6.435762,6.351812,6.466513,6.507238
1256.530838,6.352381,6.436689,6.351966,6.467908,6.508555
1257.030838,6.353249,6.438388,6.353693,6.468838,6.510022
1257.530838,6.356627,6.441097,6.356285,6.472849,6.514025
1258.030838,6.360889,6.445639,6.360427,6.476610,6.518938
1258.530838,6.367647,6.454110,6.368364,6.484873,6.526822
1259.030838,6.374726,6.460399,6.375288,6.491492,6.533589
1259.530838,6.377800,6.463605,6.377819,6.495122,6.537124
1260.030838,6.378473,6.464359,6.378246,6.496361,6.538052
1260.530838,6.378662,6.463848,6.378833,6.496382,6.538707
1261.030838,6.377325,6.463322,6.376892,6.495346,6.537287
1261.530838,6.373995,6.461325,6.374548,6.492423,6.534422
1262.030838,6.372943,6.459775,6.373158,6.491053,6.533201
1262.530838,6.372637,6.459840,6.372692,6.491230,6.532842
1263.030838,6.373834,6.461261,6.374268,6.493112,6.534359
1263.530838,6.377576,6.464864,6.377094,6.496338,6.538071
1264.030838,6.381591,6.469099,6.380593,6.500768,6.542214
1264.530838,6.385375,6.471550,6.384637,6.504271,6.546276
1265.030838,6.386754,6.473559,6.386474,6.506394,6.548637
1265.530838,6.387651,6.475424,6.387057,6.507271,6.548943
1266.030838,6.387949,6.475573,6.387655,6.507857,6.549913
1266.530838,6.388582,6.476610,6.388594,6.508562,6.549881
1267.030838,6.390438,6.478336,6.389732,6.509911,6.552211
1267.530838,6.391061,6.478920,6.390771,6.511332,6.553010
1268.030838,6.391517,6.479976,6.391442,6.512069,6.554112
1268.530838,6.393327,6.482002,6.392845,6.513499,6.555919
1269.030838,6.395676,6.484140,6.394978,6.515818,6.557918
1269.530838,6.395891,6.484001,6.395708,6.516070,6.558244
1270.030838,6.394073,6.483411,6.394033,6.514763,6.557064
1270.530838,6.393327,6.482346,6.392973,6.513937,6.556410
1271.030838,6.392742,6.481315,6.392027,6.512988,6.555251
1271.530838,6.392511,6.480714,6.392188,6.512652,6.554200
1272.030838,6.392619,6.481685,6.392228,6.513610,6.555272
1272.530838,6.393602,6.482242,6.393050,6.514614,6.556603
1273.030838,6.394146,6.484197,6.394595,6.515936,6.558134
1273.530838,6.395759,6.485085,6.395513,6.516598,6.558548
1274.030838,6.395581,6.485333,6.395058,6.517048,6.559026
1274.530838,6.395742,6.485725,6.395020,6.517163,6.559147
1275.030838,6.396384,6.484946,6.395508,6.516817,6.558867
1275.530838,6.394823,6.484656,6.394278,6.515603,6.557528
1276.030838,6.394132,6.483376,6.393495,6.515104,6.557430
1276.530838,6.394262,6.483574,6.394143,6.514846,6.557404
1277.030838,6.393338,6.482351,6.393571,6.514832,6.556323
1277.530838,6.391825,6.481200,6.391669,6.513342,6.555211
1278.030838,6.391519,6.480848,6.391037,6.512368,6.554800
1278.530838,6.392882,6.481349,6.392757,6.513609,6.556255
1279.030838,6.395913,6.485090,6.395581,6.517094,6.559659
1279.530838,6.398904,6.488368,6.398226,6.519454,6.562896
1280.030838,6.403312,6.493524,6.402620,6.524303,6.567840
1280.530838,6.406937,6.496653,6.406557,6.528543,6.571724
1281.030838,6.410447,6.500913,6.410378,6.533366,6.575915
1281.530838,6.416331,6.507354,6.416692,6.539419,6.582935
1282.030838,6.421026,6.512360,6.421605,6.545396,6.588491
1282.530838,6.428647,6.520202,6.428233,6.553385,6.596549
1283.030838,6.458422,6.549665,6.458174,6.582465,6.624716
1283.530838,6.466850,6.557830,6.466472,6.591003,6.633624
1284.030838,6.475530,6.566970,6.475401,6.600697,6.643107
1284.530838,6.483215,6.575510,6.482698,6.608077,6.651993
1285.030838,6.487734,6.580691,6.487406,6.613606,6.657317
1285.530838,6.491710,6.585874,6.491590,6.617774,6.661949
1286.030838,6.494624,6.588904,6.493860,6.621082,6.666046
1286.530838,6.493984,6.588763,6.493465,6.620839,6.665441
1287.030838,6.493744,6.588962,6.493413,6.621760,6.665903
1287.530838,6.497507,6.592215,6.496592,6.625035,6.669457
1288.030838,6.499954,6.596332,6.500106,6.629165,6.673408
1288.530838,6.505037,6.600902,6.505143,6.634285,6.678650
1289.030838,6.509396,6.605385,6.509417,6.639556,6.683756
1289.530838,6.514272,6.611166,6.514067,6.645538,6.690146
1290.030838,6.515509,6.612431,6.515353,6.647182,6.690899
1290.530838,6.516675,6.613810,6.516711,6.648949,6.692560
1291.030838,6.518058,6.615765,6.517463,6.649949,6.694339
1291.530838,6.517801,6.616102,6.517878,6.650046,6.694793
1292.030838,6.518594,6.616343,6.517932,6.650257,6.695169
1292.530838,6.519935,6.617655,6.519017,6.651876,6.696393
1293.030838,6.520270,6.618755,6.520491,6.653141,6.697321
1293.530838,6.522158,6.620884,6.522294,6.654215,6.698371
1294.030838,6.522289,6.621156,6.522440,6.655064,6.699890
1294.530838,6.523891,6.623265,6.523934,6.656265,6.701382
1295.030838,6.526020,6.625403,6.525739,6.659044,6.703303
1295.530838,6.527493,6.626585,6.526508,6.659827,6.704324
1296.030838,6.527851,6.628099,6.527682,6.660558,6.705720
1296.530838,6.529810,6.629959,6.529560,6.662629,6.707743
1297.030838,6.531668,6.631300,6.531692,6.665026,6.710299
1297.530838,6.531340,6.631414,6.530826,6.664700,6.710379
1298.030838,6.531533,6.631433,6.531299,6.665654,6.710027
1298.530838,6.532092,6.632647,6.531475,6.665479,6.710606
1299.030838,6.532006,6.632861,6.531947,6.665497,6.710675
1299.530838,6.531079,6.631963,6.531189,6.664875,6.710105
1300.030838,6.531172,6.631717,6.530416,6.664780,6.709316
1300.530838,6.530640,6.631284,6.529817,6.664007,6.709283
1301.030838,6.529379,6.630144,6.528965,6.662879,6.708344
1301.530838,6.528026,6.628496,6.527117,6.661673,6.706883
