?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
493.375961,4.903247,4.992862,4.918056,4.991414,5.003920
493.875961,4.908629,4.999098,4.923620,4.997586,5.010260
494.375961,4.932524,5.022563,4.947403,5.020733,5.033000
494.875961,4.938159,5.028300,4.953161,5.026286,5.038828
495.375961,4.943698,5.033924,4.958562,5.031876,5.044635
495.875961,4.948374,5.038759,4.963313,5.037028,5.049767
496.375961,4.949745,5.040849,4.964974,5.039168,5.051941
496.875961,4.950184,5.041795,4.965338,5.039868,5.052672
497.375961,4.953048,5.044975,4.968305,5.043382,5.056016
497.875961,4.956015,5.048587,4.971471,5.047218,5.059667
498.375961,4.958491,5.051199,4.973440,5.049889,5.062476
498.875961,4.958491,5.051383,4.973665,5.050019,5.062568
499.375961,4.961063,5.054504,4.976320,5.052853,5.065592
499.875961,4.962939,5.056541,4.978292,5.055076,5.067808
500.375961,4.964759,5.058593,4.980319,5.057038,5.070005
500.875961,4.967377,5.061464,4.982448,5.059760,5.072705
501.375961,4.970277,5.064469,4.985402,5.062786,5.075841
501.875961,4.971792,5.066675,4.987322,5.064801,5.077755
502.375961,4.974211,5.069187,4.989684,5.067324,5.080373
502.875961,4.976458,5.071815,4.991746,5.069931,5.083102
503.375961,4.980479,5.075579,4.995599,5.073943,5.087179
503.875961,4.983942,5.079817,4.999513,5.078107,5.091635
504.375961,4.987853,5.083997,5.003146,5.082334,5.095791
504.875961,4.992455,5.089266,5.007834,5.087742,5.101225
505.375961,4.998289,5.096068,5.013990,5.094732,5.107863
505.875961,5.004591,5.103418,5.020620,5.101836,5.115246
506.375961,5.008934,5.108127,5.024823,5.106633,5.119874
506.875961,5.010677,5.110075,5.026436,5.108597,5.122040
507.375961,5.013956,5.113675,5.029818,5.111978,5.125534
507.875961,5.019406,5.119528,5.035348,5.117541,5.131190
508.375961,5.050911,5.150895,5.066835,5.149206,5.162256
508.875961,5.051473,5.151520,5.067636,5.149858,5.162828
509.375961,5.055424,5.155490,5.071391,5.153858,5.166953
509.875961,5.058033,5.158229,5.073700,5.156336,5.169575
510.375961,5.063339,5.164051,5.079452,5.162108,5.175574
510.875961,5.063864,5.164419,5.079818,5.162648,5.175976
511.375961,5.066406,5.167197,5.082563,5.165176,5.178765
511.875961,5.067662,5.168624,5.083611,5.166877,5.180371
512.375961,5.071491,5.172895,5.087532,5.170864,5.184670
512.875961,5.072793,5.174708,5.088900,5.172579,5.186127
513.375961,5.075095,5.176623,5.090689,5.174502,5.188398
513.875961,5.075695,5.177719,5.091755,5.175947,5.189890
514.375961,5.078622,5.180828,5.094672,5.179365,5.193301
514.875961,5.081692,5.184641,5.097950,5.182945,5.196683
515.375961,5.082754,5.186090,5.098966,5.184315,5.198361
515.875961,5.085877,5.189621,5.101996,5.188345,5.201969
516.375961,5.091619,5.196300,5.108482,5.194664,5.208509
516.875961,5.095446,5.201059,5.111961,5.199380,5.213345
517.375961,5.098998,5.205260,5.115658,5.203570,5.217022
517.875961,5.100872,5.207244,5.117298,5.205905,5.220176
518.375961,5.107220,5.214763,5.124310,5.212672,5.227154
518.875961,5.111280,5.219608,5.128240,5.217585,5.231971
519.375961,5.115590,5.224070,5.132396,5.222132,5.236774
519.875961,5.119071,5.228455,5.135938,5.226471,5.241016
520.375961,5.145755,5.255265,5.162981,5.253146,5.266993
520.875961,5.151178,5.260726,5.168544,5.258672,5.272595
521.375961,5.154740,5.264448,5.172073,5.262493,5.276562
521.875961,5.158942,5.268545,5.176331,5.266605,5.280967
522.375961,5.160428,5.270360,5.177447,5.268499,5.283012
522.875961,5.164485,5.274968,5.181638,5.272923,5.287839
523.375961,5.165951,5.276943,5.182885,5.275184,5.289637
523.875961,5.168991,5.280133,5.186130,5.278499,5.292854
524.375961,5.168469,5.280054,5.185479,5.278155,5.292527
524.875961,5.171245,5.283016,5.188398,5.281339,5.295227
525.375961,5.170339,5.283043,5.188188,5.281895,5.296334
525.875961,5.172049,5.284548,5.189473,5.282909,5.297241
526.375961,5.173441,5.286264,5.191051,5.284632,5.299270
526.875961,5.175728,5.288952,5.193187,5.287509,5.301936
527.375961,5.176815,5.290178,5.194133,5.288401,5.303032
527.875961,5.178250,5.292128,5.196008,5.290421,5.304897
528.375961,5.180183,5.294450,5.198017,5.292711,5.307192
528.875961,5.183141,5.297854,5.200861,5.296135,5.310589
529.375961,5.188812,5.304633,5.206728,5.302638,5.317103
529.875961,5.191735,5.307926,5.209551,5.305863,5.320481
530.375961,5.195010,5.311776,5.212858,5.309723,5.324436
530.875961,5.196628,5.314355,5.215304,5.312361,5.327212
531.375961,5.201782,5.319882,5.220041,5.317761,5.332855
531.875961,5.207709,5.326474,5.225850,5.323810,5.339488
532.375961,5.235656,5.354424,5.253648,5.353076,5.367446
532.875961,5.241236,5.360602,5.259841,5.358456,5.373405
533.375961,5.245740,5.365420,5.264154,5.363569,5.378688
533.875961,5.250795,5.371200,5.269514,5.369197,5.384186
534.375961,5.253791,5.374600,5.272254,5.372668,5.387937
534.875961,5.255277,5.377364,5.274355,5.375498,5.390515
535.375961,5.259247,5.381649,5.277882,5.379992,5.394929
535.875961,5.262299,5.385335,5.281133,5.383714,5.398847
536.375961,5.263526,5.387441,5.282587,5.385479,5.400615
536.875961,5.266310,5.390424,5.285086,5.388688,5.403796
537.375961,5.266973,5.391699,5.286277,5.390149,5.405302
537.875961,5.269765,5.395410,5.289260,5.393349,5.408700
538.375961,5.272538,5.398288,5.291747,5.396411,5.411556
538.875961,5.275142,5.401371,5.294228,5.399477,5.414678
539.375961,5.274240,5.401281,5.293709,5.399370,5.414071
539.875961,5.274325,5.401559,5.293588,5.399532,5.414986
540.375961,5.275540,5.403128,5.295378,5.401168,5.416869
540.875961,5.278132,5.405690,5.297509,5.403804,5.419157
541.375961,5.279069,5.407222,5.298639,5.405062,5.420519
541.875961,5.280120,5.408661,5.299914,5.406614,5.422312
542.375961,5.280494,5.409383,5.300592,5.407526,5.423307
542.875961,5.284461,5.413858,5.303998,5.411340,5.427012
543.375961,5.285526,5.415183,5.305570,5.413089,5.428648
543.875961,5.290153,5.420442,5.310380,5.418225,5.433867
544.375961,5.290193,5.420829,5.310515,5.418816,5.434445
544.875961,5.319673,5.450428,5.340012,5.448209,5.463374
545.375961,5.325172,5.455691,5.344915,5.453574,5.468958
545.875961,5.330098,5.461084,5.350047,5.459086,5.474942
546.375961,5.332827,5.464708,5.352953,5.462667,5.478474
546.875961,5.337830,5.470533,5.358273,5.468837,5.484455
547.375961,5.344402,5.478095,5.364800,5.476314,5.491931
547.875961,5.348971,5.483883,5.369270,5.482005,5.497764
548.375961,5.353023,5.489339,5.373501,5.487594,5.503367
548.875961,5.354323,5.491800,5.374887,5.489710,5.505511
549.375961,5.358180,5.496737,5.379185,5.494587,5.510637
549.875961,5.363685,5.503487,5.385079,5.501191,5.517470
550.375961,5.368097,5.508885,5.389424,5.506609,5.523142
